x_axis,Intensity,Error
-2.487500000000000128e-02,2.219603785999999860e-05,9.422117809999999931e-08
-2.462500000000000105e-02,2.208925483999999839e-05,9.399427634000000087e-08
-2.437500000000000083e-02,2.220644732000000109e-05,9.424329137999999949e-08
-2.412500000000000061e-02,2.221965950999999908e-05,9.427135153999999483e-08
-2.387500000000000039e-02,2.218848310000000120e-05,9.420523653000000095e-08
-2.362500000000000017e-02,2.240222791999999836e-05,9.465840380000000595e-08
-2.337499999999999994e-02,2.237366147000000082e-05,9.459751327000000195e-08
-2.312499999999999972e-02,2.220570142999999847e-05,9.424182326999999488e-08
-2.287499999999999950e-02,2.227424689000000144e-05,9.438759066999999695e-08
-2.262499999999999928e-02,2.195094910999999897e-05,9.369972991999999988e-08
-2.237499999999999906e-02,2.217252526999999860e-05,9.417144111000000147e-08
-2.212499999999999883e-02,2.223517151999999849e-05,9.430421056999999839e-08
-2.187499999999999861e-02,2.224692321000000137e-05,9.432931032999999634e-08
-2.162499999999999839e-02,2.233372417999999850e-05,9.451317182000000217e-08
-2.137500000000000164e-02,2.229774176000000070e-05,9.443703504000000110e-08
-2.112500000000000142e-02,2.228215676000000142e-05,9.440405450999999355e-08
-2.087500000000000119e-02,2.214938427999999979e-05,9.412240711999999943e-08
-2.062500000000000097e-02,2.220498674000000061e-05,9.424048754000000303e-08
-2.037500000000000075e-02,2.222618742000000128e-05,9.428547092999999433e-08
-2.012500000000000053e-02,2.239778664000000160e-05,9.464876863999999775e-08
-1.987500000000000031e-02,2.206622610000000167e-05,9.394562776000000406e-08
-1.962500000000000008e-02,2.217781818999999894e-05,9.418287873999999579e-08
-1.937499999999999986e-02,2.215223418000000102e-05,9.412856864000000611e-08
-1.912499999999999964e-02,2.241380964999999882e-05,9.468266900999999677e-08
-1.887499999999999942e-02,2.230509190000000080e-05,9.445293875999999980e-08
-1.862499999999999920e-02,2.217063756999999882e-05,9.416767046999999461e-08
-1.837499999999999897e-02,2.218305656000000108e-05,9.419408334000000400e-08
-1.812499999999999875e-02,2.229305472999999996e-05,9.442734705000000138e-08
-1.787499999999999853e-02,2.224265448999999869e-05,9.432053689999999433e-08
-1.762499999999999831e-02,2.210866775000000072e-05,9.403602654999999682e-08
-1.737500000000000155e-02,2.217788489000000076e-05,9.418316196000000302e-08
-1.712500000000000133e-02,2.215590555999999976e-05,9.413652070000000221e-08
-1.687500000000000111e-02,2.217788898999999996e-05,9.418317936000000526e-08
-1.662500000000000089e-02,2.207350684999999973e-05,9.396129823000000368e-08
-1.637500000000000067e-02,2.225109324000000118e-05,9.433851107999999361e-08
-1.612500000000000044e-02,2.224999863999999888e-05,9.433645531000000450e-08
-1.587500000000000022e-02,2.206592767000000057e-05,9.394520861000000031e-08
-1.562500000000000000e-02,2.212913783000000151e-05,9.407970210000000533e-08
-1.537499999999999978e-02,2.226472768999999906e-05,9.436748504999999718e-08
-1.512499999999999956e-02,2.230072912999999852e-05,9.444375776999999957e-08
-1.487499999999999933e-02,2.210355260000000129e-05,9.402532719999999499e-08
-1.462500000000000085e-02,2.219434250000000154e-05,9.421822609000000641e-08
-1.437500000000000062e-02,2.229154637000000107e-05,9.442434629000000369e-08
-1.412500000000000040e-02,2.242714703999999865e-05,9.471112769999999623e-08
-1.387500000000000018e-02,2.214516441000000045e-05,9.411382260000000454e-08
-1.362499999999999996e-02,2.230796334999999995e-05,9.445914860999999492e-08
-1.337499999999999974e-02,2.233196931999999863e-05,9.450997580999999766e-08
-1.312499999999999951e-02,2.217558389999999953e-05,9.417848584999999489e-08
-1.287499999999999929e-02,2.231357744999999857e-05,9.447106455000000588e-08
-1.262500000000000080e-02,2.216479899999999886e-05,9.415561199000000339e-08
-1.237500000000000058e-02,2.227959334000000093e-05,9.439912468999999734e-08
-1.212500000000000036e-02,2.222759987999999915e-05,9.428891770000000002e-08
-1.187500000000000014e-02,2.221760890999999833e-05,9.426774210000000626e-08
-1.162499999999999992e-02,2.206209002999999884e-05,9.393715893999999476e-08
-1.137499999999999969e-02,2.216963834999999988e-05,9.416597446999999661e-08
-1.112499999999999947e-02,2.209044687999999840e-05,9.399764660999999375e-08
-1.087499999999999925e-02,2.189079269000000007e-05,9.357179945999999370e-08
-1.062500000000000076e-02,2.171409669999999965e-05,9.319354818000000246e-08
-1.037500000000000054e-02,2.139143666000000029e-05,9.249848973999999713e-08
-1.012500000000000032e-02,2.111301120999999908e-05,9.189477146000000225e-08
-9.875000000000000097e-03,2.072506795999999897e-05,9.104666069999999733e-08
-9.624999999999999875e-03,2.043509893999999850e-05,9.040751741000000446e-08
-9.374999999999999653e-03,1.996315521999999864e-05,8.935750798999999570e-08
-9.124999999999999431e-03,1.960480478999999970e-05,8.855192759000000299e-08
-8.874999999999999209e-03,1.935444565000000078e-05,8.798475187999999904e-08
-8.625000000000000722e-03,1.895848271999999983e-05,8.708011379999999613e-08
-8.375000000000000500e-03,1.871931597999999960e-05,8.652914434999999567e-08
-8.125000000000000278e-03,1.821654739999999914e-05,8.535922890000000537e-08
-7.875000000000000056e-03,1.800737847000000147e-05,8.486779611000000366e-08
-7.624999999999999833e-03,1.746782029999999854e-05,8.358669915000000516e-08
-7.374999999999999611e-03,1.719823693999999968e-05,8.293919219999999747e-08
-7.125000000000000257e-03,1.678947766000000148e-05,8.194767942999999525e-08
-6.875000000000000035e-03,1.656589161000000162e-05,8.140020465999999905e-08
-6.624999999999999813e-03,1.632228009000000167e-05,8.079941111999999450e-08
-6.374999999999999591e-03,1.577033200000000133e-05,7.942156905999999538e-08
-6.125000000000000236e-03,1.535956061000000119e-05,7.838040905000000324e-08
-5.875000000000000014e-03,1.508196325999999990e-05,7.766885254000000579e-08
-5.624999999999999792e-03,1.484317857000000044e-05,7.705155990999999589e-08
-5.374999999999999570e-03,1.439400305000000043e-05,7.587675843000000200e-08
-5.125000000000000215e-03,1.395002000999999980e-05,7.469736306000000600e-08
-4.874999999999999993e-03,1.373403269999999975e-05,7.411684147999999898e-08
-4.624999999999999771e-03,1.348521924000000041e-05,7.344232720999999342e-08
-4.375000000000000416e-03,1.339720419000000041e-05,7.320220884000000234e-08
-4.125000000000000194e-03,1.329517792000000058e-05,7.292285220000000640e-08
-3.874999999999999972e-03,1.321116012000000000e-05,7.269200869999999453e-08
-3.625000000000000184e-03,1.311833048999999968e-05,7.243607132000000181e-08
-3.374999999999999962e-03,1.310791028999999932e-05,7.240723903999999393e-08
-3.125000000000000173e-03,1.316747628999999989e-05,7.257148937000000112e-08
-2.874999999999999951e-03,1.322569356000000063e-05,7.274775025000000459e-08
-2.625000000000000163e-03,1.308261840999999955e-05,7.233709168999999415e-08
