x_axis,Intensity,Error
-2.487500000000000128e-02,5.115718918999999697e-06,2.022908386000000128e-08
-2.462500000000000105e-02,5.082607285999999799e-06,2.016352083999999989e-08
-2.437500000000000083e-02,5.090605917000000198e-06,2.017937941999999975e-08
-2.412500000000000061e-02,5.125086348999999782e-06,2.024761277000000152e-08
-2.387500000000000039e-02,5.079731107999999597e-06,2.015782189999999873e-08
-2.362500000000000017e-02,5.123408327000000181e-06,2.024430139000000110e-08
-2.337499999999999994e-02,5.123032299999999763e-06,2.024398642999999930e-08
-2.312499999999999972e-02,5.101101108999999851e-06,2.020020331000000068e-08
-2.287499999999999950e-02,5.074784872999999754e-06,2.014803181999999938e-08
-2.262499999999999928e-02,5.118780169999999870e-06,2.023517812000000074e-08
-2.237499999999999906e-02,5.111903528000000226e-06,2.022158675000000048e-08
-2.212499999999999883e-02,5.114707609000000311e-06,2.022714077000000044e-08
-2.187499999999999861e-02,5.076793569999999583e-06,2.015203648000000110e-08
-2.162499999999999839e-02,5.110633676999999909e-06,2.021909480000000103e-08
-2.137500000000000164e-02,5.098955439999999942e-06,2.019598168999999862e-08
-2.112500000000000142e-02,5.068558678999999773e-06,2.013569453999999870e-08
-2.087500000000000119e-02,5.148294975000000416e-06,2.029343708000000082e-08
-2.062500000000000097e-02,5.112239346999999633e-06,2.022228224999999884e-08
-2.037500000000000075e-02,5.089925532000000042e-06,2.017810919999999884e-08
-2.012500000000000053e-02,5.106965946999999800e-06,2.021186177000000037e-08
-1.987500000000000031e-02,5.093126236000000295e-06,2.018445450000000156e-08
-1.962500000000000008e-02,5.053373797000000320e-06,2.010553686999999995e-08
-1.937499999999999986e-02,5.080093241000000226e-06,2.015862406000000032e-08
-1.912499999999999964e-02,5.095531007000000100e-06,2.018922898000000019e-08
-1.887499999999999942e-02,5.106572366000000290e-06,2.021109557000000098e-08
-1.862499999999999920e-02,5.124893623000000107e-06,2.024732538000000074e-08
-1.837499999999999897e-02,5.078917669000000233e-06,2.015672544999999911e-08
-1.812499999999999875e-02,5.115458954000000376e-06,2.022868848999999882e-08
-1.787499999999999853e-02,5.105625668000000233e-06,2.020924819000000071e-08
-1.762499999999999831e-02,5.063227613000000185e-06,2.012515896000000159e-08
-1.737500000000000155e-02,5.107705094999999772e-06,2.021336241999999980e-08
-1.712500000000000133e-02,5.083468402000000057e-06,2.016535022000000104e-08
-1.687500000000000111e-02,5.112908889999999635e-06,2.022366504000000140e-08
-1.662500000000000089e-02,5.112670186000000252e-06,2.022319367000000119e-08
-1.637500000000000067e-02,5.088834966000000300e-06,2.017600554000000091e-08
-1.612500000000000044e-02,5.104675717999999813e-06,2.020738775000000057e-08
-1.587500000000000022e-02,5.095709985999999777e-06,2.018962294000000071e-08
-1.562500000000000000e-02,5.091879332999999789e-06,2.018204891000000053e-08
-1.537499999999999978e-02,5.086681437000000254e-06,2.017174535999999914e-08
-1.512499999999999956e-02,5.108839962000000020e-06,2.021563747999999942e-08
-1.487499999999999933e-02,5.057566351000000095e-06,2.011394095999999903e-08
-1.462500000000000085e-02,5.131403132999999941e-06,2.026023953999999870e-08
-1.437500000000000062e-02,5.095107948999999649e-06,2.018840832999999916e-08
-1.412500000000000040e-02,5.115965009999999724e-06,2.022974063999999921e-08
-1.387500000000000018e-02,5.095265092999999634e-06,2.018919433000000156e-08
-1.362499999999999996e-02,5.091092792999999851e-06,2.018051662999999979e-08
-1.337499999999999974e-02,5.111418471999999976e-06,2.022077627999999970e-08
-1.312499999999999951e-02,5.095735322000000204e-06,2.018972153999999905e-08
-1.287499999999999929e-02,5.089334417000000358e-06,2.017703684000000045e-08
-1.262500000000000080e-02,5.090140161000000078e-06,2.017864292000000155e-08
-1.237500000000000058e-02,5.067179392000000159e-06,2.013307496000000042e-08
-1.212500000000000036e-02,5.086943400000000258e-06,2.017231143000000141e-08
-1.187500000000000014e-02,5.027752325000000128e-06,2.005461483000000072e-08
-1.162499999999999992e-02,5.030155658999999909e-06,2.005941447999999960e-08
-1.137499999999999969e-02,4.999841598999999781e-06,1.999888646999999999e-08
-1.112499999999999947e-02,4.929454823999999585e-06,1.985763267999999892e-08
-1.087499999999999925e-02,4.855307247999999948e-06,1.970773358999999980e-08
-1.062500000000000076e-02,4.828516380999999618e-06,1.965330060000000056e-08
-1.037500000000000054e-02,4.690156990999999949e-06,1.936974619999999924e-08
-1.012500000000000032e-02,4.628065378000000190e-06,1.924106190999999976e-08
-9.875000000000000097e-03,4.562397795000000297e-06,1.910408464000000005e-08
-9.624999999999999875e-03,4.473369717999999864e-06,1.891678507999999957e-08
-9.374999999999999653e-03,4.392579457999999903e-06,1.874519446999999972e-08
-9.124999999999999431e-03,4.395863140000000250e-06,1.875220800000000155e-08
-8.874999999999999209e-03,4.235814069000000278e-06,1.840813366000000038e-08
-8.625000000000000722e-03,4.159247419000000091e-06,1.824055890999999921e-08
-8.375000000000000500e-03,4.098134648000000102e-06,1.810606378999999913e-08
-8.125000000000000278e-03,4.063178480000000195e-06,1.802868156000000057e-08
-7.875000000000000056e-03,3.983104264000000253e-06,1.785015081999999913e-08
-7.624999999999999833e-03,3.895753165000000291e-06,1.765334270000000103e-08
-7.374999999999999611e-03,3.811680092999999963e-06,1.746181757999999955e-08
-7.125000000000000257e-03,3.726247980999999881e-06,1.726502842999999971e-08
-6.875000000000000035e-03,3.684826635999999915e-06,1.716929307000000103e-08
-6.624999999999999813e-03,3.610350791000000096e-06,1.699490693000000059e-08
-6.374999999999999591e-03,3.542339140000000051e-06,1.683357717000000010e-08
-6.125000000000000236e-03,3.418045955999999979e-06,1.653567727000000016e-08
-5.875000000000000014e-03,3.350829351000000024e-06,1.637221726000000139e-08
-5.624999999999999792e-03,3.302352019999999943e-06,1.625335427000000095e-08
-5.374999999999999570e-03,3.224115024000000049e-06,1.605966380999999975e-08
-5.125000000000000215e-03,3.198911696000000060e-06,1.599675821000000142e-08
-4.874999999999999993e-03,3.189303899999999858e-06,1.597269626999999979e-08
-4.624999999999999771e-03,3.155222295999999865e-06,1.588710876000000084e-08
-4.375000000000000416e-03,3.136014670000000193e-06,1.583865995999999856e-08
-4.125000000000000194e-03,3.121546150000000007e-06,1.580259842000000000e-08
-3.874999999999999972e-03,3.121379450000000085e-06,1.580216037999999999e-08
-3.625000000000000184e-03,3.124635795999999950e-06,1.580984913999999984e-08
-3.374999999999999962e-03,3.096727248999999990e-06,1.573960137999999965e-08
-3.125000000000000173e-03,3.131824266999999856e-06,1.582799687999999886e-08
-2.874999999999999951e-03,3.113814204999999909e-06,1.578289623999999913e-08
-2.625000000000000163e-03,3.109173610000000007e-06,1.577062397000000081e-08
-2.374999999999999941e-03,3.114798862000000126e-06,1.578482512999999875e-08
-2.125000000000000153e-03,3.102460021999999976e-06,1.575409642999999879e-08
-1.874999999999999931e-03,3.122760609000000137e-06,1.580501503000000090e-08
-1.624999999999999925e-03,3.131025486999999987e-06,1.582585741000000127e-08
-1.374999999999999920e-03,3.133392865000000204e-06,1.583188116999999976e-08
-1.124999999999999915e-03,3.132509804999999964e-06,1.582963833000000015e-08
-8.750000000000000182e-04,3.122986450000000187e-06,1.580605445000000103e-08
-6.250000000000000130e-04,3.134987384000000029e-06,1.583588716999999959e-08
-3.750000000000000078e-04,3.127466662000000106e-06,1.581688555999999921e-08
-1.250000000000000026e-04,3.118048436999999887e-06,1.579311968999999981e-08
1.250000000000000026e-04,3.132426378000000042e-06,1.582942271000000124e-08
3.750000000000000078e-04,3.129976873999999857e-06,1.582318502000000122e-08
6.250000000000000130e-04,3.169144361000000164e-06,1.592192917999999949e-08
8.750000000000000182e-04,3.125308058000000180e-06,1.581142916000000025e-08
1.124999999999999915e-03,3.117702834000000141e-06,1.579216669000000042e-08
1.374999999999999920e-03,3.117713945999999792e-06,1.579222069000000109e-08
1.624999999999999925e-03,3.105877250999999943e-06,1.576221948000000160e-08
1.874999999999999931e-03,3.145078268000000119e-06,1.586139104000000046e-08
2.125000000000000153e-03,3.123641244000000156e-06,1.580724519000000110e-08
2.374999999999999941e-03,3.109329055000000076e-06,1.577100471999999893e-08
