x_axis,Intensity,Error
-2.487500000000000128e-02,5.712898585999999711e-06,2.390104234999999952e-08
-2.462500000000000105e-02,5.730810414999999602e-06,2.393850637000000046e-08
-2.437500000000000083e-02,5.750812086000000073e-06,2.398025060999999898e-08
-2.412500000000000061e-02,5.724649146999999876e-06,2.392558728999999960e-08
-2.387500000000000039e-02,5.746419760999999737e-06,2.397110664999999847e-08
-2.362500000000000017e-02,5.796216556000000005e-06,2.407474432999999958e-08
-2.337499999999999994e-02,5.769122170000000122e-06,2.401841868000000019e-08
-2.312499999999999972e-02,5.786221398999999987e-06,2.405398682999999847e-08
-2.287499999999999950e-02,5.797423562000000310e-06,2.407726552000000106e-08
-2.262499999999999928e-02,5.813924966999999976e-06,2.411151202000000073e-08
-2.237499999999999906e-02,5.853623732000000278e-06,2.419369609000000069e-08
-2.212499999999999883e-02,5.896181997000000210e-06,2.428144394999999925e-08
-2.187499999999999861e-02,5.932227984999999906e-06,2.435560712999999985e-08
-2.162499999999999839e-02,5.922431489999999920e-06,2.433549464999999889e-08
-2.137500000000000164e-02,5.923226033999999670e-06,2.433711730000000081e-08
-2.112500000000000142e-02,5.944235096000000027e-06,2.438025883999999973e-08
-2.087500000000000119e-02,5.927745887000000133e-06,2.434644220000000043e-08
-2.062500000000000097e-02,5.946836537999999736e-06,2.438559660999999941e-08
-2.037500000000000075e-02,5.934337943999999662e-06,2.435995915000000046e-08
-2.012500000000000053e-02,5.968038272999999681e-06,2.442903349999999901e-08
-1.987500000000000031e-02,6.050433692000000372e-06,2.459708885000000118e-08
-1.962500000000000008e-02,6.031944391000000417e-06,2.455949673999999895e-08
-1.937499999999999986e-02,6.055646849000000102e-06,2.460770958999999963e-08
-1.912499999999999964e-02,6.019149580999999859e-06,2.453344488000000025e-08
-1.887499999999999942e-02,6.075848591999999578e-06,2.464872654999999925e-08
-1.862499999999999920e-02,6.004023241000000373e-06,2.450256395999999842e-08
-1.837499999999999897e-02,6.069353975999999774e-06,2.463555960000000160e-08
-1.812499999999999875e-02,6.044263498999999716e-06,2.458460444999999860e-08
-1.787499999999999853e-02,6.063358306999999893e-06,2.462339666000000123e-08
-1.762499999999999831e-02,6.081755409999999766e-06,2.466072011000000154e-08
-1.737500000000000155e-02,6.070362964000000266e-06,2.463762557999999876e-08
