x_axis,Intensity,Error
-2.487437186000000106e-02,2.303880940000000082e-07,3.670782908999999883e-08
-2.462311558000000039e-02,3.197717279000000105e-07,3.687024042999999701e-08
-2.437185929999999973e-02,3.191687993000000146e-07,3.705948099000000081e-08
-2.412060301999999906e-02,2.639311132999999809e-07,3.717676049000000254e-08
-2.386934673000000104e-02,3.560170119000000262e-07,3.730613156999999778e-08
-2.361809045000000037e-02,3.103614857999999817e-07,3.742137014999999942e-08
-2.336683416999999971e-02,3.157725261000000008e-07,3.753957637000000010e-08
-2.311557788999999905e-02,3.098738887999999903e-07,3.772340821999999715e-08
-2.286432160999999838e-02,2.780727217999999854e-07,3.784265899999999730e-08
-2.261306533000000119e-02,3.586595734999999982e-07,3.799495820999999851e-08
-2.236180905000000052e-02,3.837468919000000119e-07,3.813768363000000001e-08
-2.211055275999999903e-02,3.307702341000000133e-07,3.823707183000000110e-08
-2.185929647999999836e-02,3.348686252000000120e-07,3.834357621999999935e-08
-2.160804020000000117e-02,2.986662394000000092e-07,3.846728221999999991e-08
-2.135678392000000050e-02,3.794614663999999888e-07,3.864093967000000282e-08
-2.110552763999999984e-02,3.106685164999999806e-07,3.877426169000000118e-08
-2.085427135999999917e-02,3.504880780999999950e-07,3.891380482999999874e-08
-2.060301507999999851e-02,2.726796480000000240e-07,3.908240828999999680e-08
-2.035175879000000049e-02,3.719669817999999824e-07,3.920434310000000005e-08
-2.010050250999999982e-02,3.886651405000000000e-07,3.934775439999999718e-08
-1.984924622999999916e-02,2.696797672000000086e-07,3.942711856000000167e-08
-1.959798994999999849e-02,3.433633459000000182e-07,3.949436097000000089e-08
-1.934673367000000130e-02,3.150728796999999815e-07,3.968034213999999950e-08
-1.909547739000000063e-02,2.679721417999999813e-07,3.983810867999999935e-08
-1.884422110999999997e-02,3.195698917000000156e-07,3.994428200999999894e-08
-1.859296481999999848e-02,3.468784106000000193e-07,4.010075759999999839e-08
-1.834170854000000128e-02,3.009782277000000050e-07,4.024345828999999912e-08
-1.809045226000000062e-02,3.232655701000000013e-07,4.037048359000000064e-08
-1.783919597999999995e-02,3.452698864999999794e-07,4.049403270999999885e-08
-1.758793969999999929e-02,3.373805606000000108e-07,4.060281000000000198e-08
-1.733668341999999862e-02,3.347632070000000011e-07,4.077897965999999987e-08
-1.708542714000000143e-02,3.874436619000000081e-07,4.089707459999999950e-08
-1.683417084999999994e-02,4.158681216999999829e-07,4.099408271999999759e-08
