x_axis,Intensity,Error
-2.487437186000000106e-02,9.276831747000000634e-09,1.041340916000000032e-09
-2.462311558000000039e-02,9.303562305000000317e-09,1.041255507000000003e-09
-2.437185929999999973e-02,8.735406323000000731e-09,1.040187512000000066e-09
-2.412060301999999906e-02,8.276233669999999669e-09,1.039987702999999966e-09
-2.386934673000000104e-02,7.802358198999999205e-09,1.040645921000000089e-09
-2.361809045000000037e-02,8.603716251000000341e-09,1.042490175000000041e-09
-2.336683416999999971e-02,7.756446780000000577e-09,1.046161321000000068e-09
-2.311557788999999905e-02,8.315563760000000388e-09,1.045466099999999904e-09
-2.286432160999999838e-02,9.767637576000000193e-09,1.044987247000000048e-09
-2.261306533000000119e-02,8.699631726999999271e-09,1.044532295000000101e-09
-2.236180905000000052e-02,8.571667635000000770e-09,1.043989080000000069e-09
-2.211055275999999903e-02,9.995614217999999454e-09,1.043384273999999941e-09
-2.185929647999999836e-02,9.123648938000000795e-09,1.042218929999999933e-09
-2.160804020000000117e-02,8.187704609000000085e-09,1.042580254999999928e-09
-2.135678392000000050e-02,8.647688971999999997e-09,1.041725020000000025e-09
-2.110552763999999984e-02,9.367665408000000322e-09,1.042293701999999954e-09
-2.085427135999999917e-02,8.099586441999999894e-09,1.041552528999999940e-09
-2.060301507999999851e-02,9.232124343999999419e-09,1.041495528000000026e-09
-2.035175879000000049e-02,9.447431633000000385e-09,1.044150616000000053e-09
-2.010050250999999982e-02,9.939073423999999378e-09,1.044715807000000002e-09
-1.984924622999999916e-02,9.135832605000000207e-09,1.041991232000000026e-09
-1.959798994999999849e-02,8.628056928000000380e-09,1.041263799000000008e-09
-1.934673367000000130e-02,9.220526282000000482e-09,1.044317403999999942e-09
-1.909547739000000063e-02,8.954621096999999324e-09,1.043696003000000025e-09
-1.884422110999999997e-02,9.082685482000000629e-09,1.041970446000000034e-09
-1.859296481999999848e-02,9.423780878000000210e-09,1.041684252000000066e-09
-1.834170854000000128e-02,9.336126179000000720e-09,1.041462077999999909e-09
-1.809045226000000062e-02,7.195486066000000235e-09,1.041990230000000029e-09
-1.783919597999999995e-02,9.355282622000000782e-09,1.043003847999999912e-09
-1.758793969999999929e-02,8.975718315000000558e-09,1.043452031000000042e-09
-1.733668341999999862e-02,7.947748809000000114e-09,1.043142032000000013e-09
-1.708542714000000143e-02,8.523824928000000403e-09,1.043617571999999979e-09
-1.683417084999999994e-02,9.740106293999999769e-09,1.043564691000000013e-09
-1.658291456999999927e-02,1.004775096000000073e-08,1.045131656000000065e-09
-1.633165828999999861e-02,8.431633333999999683e-09,1.046600393999999940e-09
-1.608040201000000141e-02,1.049166311000000056e-08,1.044477882999999995e-09
-1.582914573000000075e-02,8.446604411000000739e-09,1.041938769999999920e-09
-1.557788945000000008e-02,8.974536511000000432e-09,1.042967345999999973e-09
-1.532663316999999942e-02,8.803993337000000693e-09,1.043897499999999910e-09
-1.507537687999999966e-02,9.338747186000000157e-09,1.043827958999999969e-09
-1.482412060000000073e-02,8.767085740000000221e-09,1.043931170999999915e-09
-1.457286432000000007e-02,8.103839127000000027e-09,1.044201002999999911e-09
-1.432160803999999940e-02,9.248056957999999820e-09,1.044347658999999991e-09
-1.407035176000000047e-02,9.240093581999999379e-09,1.043098711000000034e-09
-1.381909547999999981e-02,8.587980147999999700e-09,1.043055926999999945e-09
-1.356783919999999914e-02,1.022171094000000032e-08,1.043184412999999941e-09
-1.331658290999999938e-02,9.433542438000000724e-09,1.043265648999999970e-09
-1.306532663000000045e-02,9.475311159999999406e-09,1.043863453999999992e-09
-1.281407034999999979e-02,8.156333746999999609e-09,1.044599275000000070e-09
-1.256281407000000086e-02,8.563786440000000536e-09,1.044652209000000086e-09
-1.231155779000000020e-02,8.251838226000000320e-09,1.044790399000000048e-09
-1.206030150999999953e-02,1.021617386000000013e-08,1.044832118999999988e-09
-1.180904523000000060e-02,8.500319727000000073e-09,1.044276444000000079e-09
-1.155778894000000084e-02,9.020234145999999468e-09,1.044300541000000076e-09
-1.130653266000000018e-02,8.427811890999999341e-09,1.044799448000000096e-09
-1.105527637999999951e-02,8.407842091999999674e-09,1.045155700999999955e-09
-1.080402010000000058e-02,7.383723588999999730e-09,1.045247530000000044e-09
-1.055276381999999992e-02,8.403844282999999460e-09,1.045113909999999967e-09
-1.030150753999999926e-02,9.356003729000000081e-09,1.043689514000000008e-09
-1.005025126000000033e-02,1.020014297999999993e-08,1.044084178000000100e-09
-9.798994974999999247e-03,9.851644744000000319e-09,1.044219482999999929e-09
-9.547738692999999457e-03,9.248165307000000295e-09,1.041677383000000011e-09
-9.296482412000000098e-03,7.567874312000000107e-09,1.043058480999999907e-09
-9.045226131000000738e-03,7.463862067000000616e-09,1.044438318000000039e-09
-8.793969848999999214e-03,8.319923972999999262e-09,1.043817974000000053e-09
-8.542713567999999855e-03,9.643889757000000012e-09,1.043323822000000018e-09
-8.291457286000000065e-03,9.514058738999999742e-09,1.044406576999999946e-09
-8.040201005000000706e-03,7.754083460000000283e-09,1.044085020000000005e-09
-7.788944723999999611e-03,7.747876869000000102e-09,1.042519117999999953e-09
-7.537688441999999822e-03,8.498518957999999756e-09,1.044640572999999909e-09
-7.286432160999999595e-03,8.407860794999999465e-09,1.044185430000000001e-09
-7.035175878999999806e-03,9.097218781999999562e-09,1.042984313000000054e-09
-6.783919597999999579e-03,8.595888113999999187e-09,1.042005693000000069e-09
-6.532663317000000219e-03,9.371864676999999243e-09,1.041982817000000073e-09
-6.281407035000000430e-03,8.369048830000000541e-09,1.045327280999999973e-09
-6.030150754000000203e-03,7.677150773999999379e-09,1.044358745999999935e-09
-5.778894472000000414e-03,9.379757363000000146e-09,1.043325872999999994e-09
-5.527638191000000187e-03,1.030763745999999963e-08,1.043954148000000092e-09
-5.276381909999999960e-03,8.431698088000000241e-09,1.040934572999999963e-09
-5.025125628000000171e-03,1.171581371000000049e-08,1.032365686000000080e-09
-4.773869346999999944e-03,1.314275381999999958e-08,1.013367197000000093e-09
-4.522613065000000154e-03,1.510076883999999913e-08,9.864658895000000281e-10
-4.271356783999999927e-03,1.631576969999999970e-08,9.559288992000000122e-10
-4.020100502999999700e-03,2.096061402000000060e-08,9.175274119000000314e-10
-3.768844220999999911e-03,2.998636228999999784e-08,8.603793449000000250e-10
-3.517587940000000118e-03,3.458010208000000073e-08,7.817421187000000177e-10
-3.266331657999999895e-03,3.119530464000000289e-08,6.925106454999999702e-10
-3.015075377000000102e-03,2.827638058999999861e-08,6.005569899000000412e-10
-2.763819094999999879e-03,2.716741087000000012e-08,4.997811813000000375e-10
-2.512562814000000085e-03,2.384361546000000047e-08,3.843429024999999930e-10
-2.261306532999999858e-03,1.805006166000000162e-08,2.528433870999999837e-10
-2.010050251000000069e-03,5.185101231000000265e-09,1.321386177000000086e-10
-1.758793970000000059e-03,6.785825951999999965e-10,8.350192715000000503e-11
-1.507537688000000053e-03,6.584010224999999755e-10,8.354529136000000222e-11
-1.256281407000000043e-03,6.878195688000000446e-10,8.306551939000000245e-11
-1.005025126000000033e-03,8.641661372000000318e-10,8.373496842999999590e-11
-7.537688441999999822e-04,8.547286786999999688e-10,8.441822152000000118e-11
-5.025125627999999520e-04,6.670773114999999620e-10,8.245451987999999930e-11
-2.512562813999999760e-04,7.476547987999999635e-10,8.207428489000000267e-11
0.000000000000000000e+00,8.024532372999999837e-10,8.234073317000000105e-11
2.512562813999999760e-04,8.255796584000000424e-10,8.591023836000000042e-11
5.025125627999999520e-04,8.876021060000000299e-10,8.574682392999999882e-11
7.537688441999999822e-04,6.823130886000000257e-10,8.154035361000000055e-11
1.005025126000000033e-03,7.902802241000000456e-10,8.362152822999999379e-11
1.256281407000000043e-03,8.559605940000000294e-10,8.404029680999999790e-11
1.507537688000000053e-03,7.379780305999999882e-10,8.280736066000000235e-11
1.758793970000000059e-03,7.060048648000000343e-10,8.400686274999999609e-11
2.010050251000000069e-03,5.083881774000000029e-09,1.314907410999999946e-10
2.261306532999999858e-03,1.861965618000000055e-08,2.543544935999999889e-10
2.512562814000000085e-03,2.371304718000000080e-08,3.864753972999999953e-10
2.763819094999999879e-03,2.800250540000000051e-08,5.027864972999999681e-10
3.015075377000000102e-03,2.623617066999999946e-08,6.010599069000000367e-10
3.266331657999999895e-03,3.190148184999999784e-08,6.910461152000000395e-10
3.517587940000000118e-03,3.462112933000000048e-08,7.814007523999999668e-10
3.768844220999999911e-03,3.100756405999999781e-08,8.613042108999999600e-10
4.020100502999999700e-03,2.032117716000000133e-08,9.184794761999999667e-10
4.271356783999999927e-03,1.708209474999999996e-08,9.575017850000000439e-10
4.522613065000000154e-03,1.286072285000000031e-08,9.869348648000000144e-10
4.773869346999999944e-03,1.446004693999999952e-08,1.011988084999999986e-09
5.025125628000000171e-03,1.006886351999999987e-08,1.032970180999999918e-09
5.276381909999999960e-03,8.676923755999999461e-09,1.042630642999999935e-09
5.527638191000000187e-03,8.362133730999999965e-09,1.044932604000000008e-09
5.778894472000000414e-03,8.923239363999999701e-09,1.042868796999999933e-09
6.030150754000000203e-03,9.759746586999999385e-09,1.043398504999999994e-09
6.281407035000000430e-03,8.060050893999999491e-09,1.045179427000000015e-09
6.532663317000000219e-03,8.781710791999999748e-09,1.042386985000000068e-09
6.783919597999999579e-03,1.022787112000000061e-08,1.040622517000000098e-09
7.035175878999999806e-03,1.019804083000000067e-08,1.043423270999999931e-09
7.286432160999999595e-03,1.016009055999999941e-08,1.043719212000000078e-09
7.537688441999999822e-03,1.093139372999999969e-08,1.042442721000000035e-09
7.788944723999999611e-03,9.560131740999999370e-09,1.042807389999999995e-09
8.040201005000000706e-03,1.008419224000000057e-08,1.043108867999999971e-09
8.291457286000000065e-03,9.920303554999999560e-09,1.043725699000000003e-09
8.542713567999999855e-03,9.523911735000000021e-09,1.043806600000000092e-09
8.793969848999999214e-03,8.844940971999999307e-09,1.045080282999999910e-09
