x_axis,Intensity,Error
-2.487437186000000106e-02,7.690839718999999892e-07,1.011035920000000055e-07
-2.462311558000000039e-02,8.407087100999999631e-07,1.010834131999999987e-07
-2.437185929999999973e-02,8.831213311000000151e-07,1.010209375999999951e-07
-2.412060301999999906e-02,8.411344024999999974e-07,1.010253281999999951e-07
-2.386934673000000104e-02,7.927011128000000215e-07,1.012084798000000061e-07
-2.361809045000000037e-02,9.355018679999999793e-07,1.011124795000000047e-07
-2.336683416999999971e-02,9.446636837000000012e-07,1.009220412999999970e-07
-2.311557788999999905e-02,9.406953871999999849e-07,1.008332764000000024e-07
-2.286432160999999838e-02,8.975152136000000286e-07,1.008682823999999977e-07
-2.261306533000000119e-02,8.551569928999999653e-07,1.010862224999999959e-07
-2.236180905000000052e-02,7.687688794999999798e-07,1.009635564000000009e-07
-2.211055275999999903e-02,8.239204983000000003e-07,1.008208566000000039e-07
-2.185929647999999836e-02,8.455389817000000407e-07,1.007947003000000057e-07
-2.160804020000000117e-02,8.299320132999999759e-07,1.009338447999999992e-07
-2.135678392000000050e-02,7.959048115999999786e-07,1.010254134999999975e-07
-2.110552763999999984e-02,7.715295154000000480e-07,1.010171977999999974e-07
-2.085427135999999917e-02,9.554986350000000244e-07,1.009245300999999962e-07
-2.060301507999999851e-02,8.423278391999999856e-07,1.009479755999999972e-07
-2.035175879000000049e-02,7.991230222000000187e-07,1.012660424999999970e-07
-2.010050250999999982e-02,9.999193256999999485e-07,1.010620717000000066e-07
-1.984924622999999916e-02,8.399180538999999798e-07,1.008299540000000021e-07
-1.959798994999999849e-02,9.243147255999999542e-07,1.010688765000000053e-07
-1.934673367000000130e-02,8.979479961999999904e-07,1.011899929999999960e-07
-1.909547739000000063e-02,8.328729272999999548e-07,1.009590280000000066e-07
-1.884422110999999997e-02,9.253170894999999540e-07,1.010753982000000013e-07
-1.859296481999999848e-02,8.911254477999999746e-07,1.012165310000000050e-07
-1.834170854000000128e-02,9.531262570999999556e-07,1.010429363000000048e-07
-1.809045226000000062e-02,7.123407868000000438e-07,1.011576800999999972e-07
-1.783919597999999995e-02,7.643326064999999945e-07,1.011031486000000065e-07
-1.758793969999999929e-02,7.283412985000000209e-07,1.009955279999999950e-07
-1.733668341999999862e-02,8.855174116999999750e-07,1.010767334000000034e-07
-1.708542714000000143e-02,8.395365358999999716e-07,1.011341410000000061e-07
-1.683417084999999994e-02,8.246963780999999784e-07,1.008422342999999976e-07
-1.658291456999999927e-02,8.598790898000000385e-07,1.006008317000000029e-07
-1.633165828999999861e-02,7.783376479000000428e-07,1.006827901999999983e-07
-1.608040201000000141e-02,9.755017208999999415e-07,1.008475379000000008e-07
-1.582914573000000075e-02,9.404275979000000112e-07,1.010591178000000063e-07
-1.557788945000000008e-02,8.392487637999999741e-07,1.010207431999999993e-07
-1.532663316999999942e-02,8.587349766999999509e-07,1.009237237000000039e-07
-1.507537687999999966e-02,8.147200105000000172e-07,1.009729184999999958e-07
-1.482412060000000073e-02,9.330997012999999967e-07,1.007024766000000004e-07
-1.457286432000000007e-02,8.715372282999999958e-07,1.006007955999999964e-07
-1.432160803999999940e-02,7.823353879999999488e-07,1.010510350999999990e-07
-1.407035176000000047e-02,7.763225140999999884e-07,1.011376879999999953e-07
-1.381909547999999981e-02,8.547243735000000027e-07,1.010538569999999969e-07
-1.356783919999999914e-02,8.191364703999999484e-07,1.011476416000000051e-07
-1.331658290999999938e-02,9.019326195000000033e-07,1.011551337000000061e-07
-1.306532663000000045e-02,8.279447947999999742e-07,1.010740453999999936e-07
-1.281407034999999979e-02,9.353971119000000091e-07,1.009974342000000038e-07
-1.256281407000000086e-02,9.062542667999999824e-07,1.010802166000000021e-07
-1.231155779000000020e-02,8.903171103000000046e-07,1.009538544999999936e-07
-1.206030150999999953e-02,8.448880989999999768e-07,1.005628421999999979e-07
-1.180904523000000060e-02,8.539839216000000336e-07,1.001911907000000065e-07
-1.155778894000000084e-02,8.842185992000000027e-07,9.986313493000000507e-08
-1.130653266000000018e-02,8.295308164000000193e-07,9.959815248000000382e-08
-1.105527637999999951e-02,8.403232262000000423e-07,9.915842341000000435e-08
-1.080402010000000058e-02,9.367046995000000175e-07,9.826523466000000114e-08
-1.055276381999999992e-02,7.907359414999999937e-07,9.736299757999999928e-08
-1.030150753999999926e-02,6.307531508000000118e-07,9.688461638000000411e-08
-1.005025126000000033e-02,8.823256331999999648e-07,9.604435164999999343e-08
-9.798994974999999247e-03,9.651229437999999449e-07,9.485829584999999732e-08
-9.547738692999999457e-03,8.683348673999999475e-07,9.427221388000000270e-08
-9.296482412000000098e-03,1.009960172999999912e-06,9.348579811999999402e-08
-9.045226131000000738e-03,9.136059850000000334e-07,9.271472550999999511e-08
-8.793969848999999214e-03,7.492889247000000143e-07,9.218332156999999447e-08
-8.542713567999999855e-03,9.405237499000000362e-07,9.119328752999999990e-08
-8.291457286000000065e-03,8.963445498999999578e-07,9.029942010999999491e-08
-8.040201005000000706e-03,9.115439888000000490e-07,8.932238886999999613e-08
-7.788944723999999611e-03,6.199529051999999824e-07,8.834954617000000341e-08
-7.537688441999999822e-03,6.775700620000000116e-07,8.769715737000000042e-08
-7.286432160999999595e-03,8.627600575999999962e-07,8.677148768000000514e-08
-7.035175878999999806e-03,7.391879442999999554e-07,8.589923090000000290e-08
-6.783919597999999579e-03,7.927622416999999813e-07,8.529745529000000243e-08
-6.532663317000000219e-03,8.259580756999999630e-07,8.437667848999999539e-08
-6.281407035000000430e-03,7.123097701999999537e-07,8.344139778000000060e-08
-6.030150754000000203e-03,6.977695441000000422e-07,8.277448975000000035e-08
-5.778894472000000414e-03,8.471989531999999667e-07,8.187539431000000006e-08
-5.527638191000000187e-03,7.043858113999999483e-07,8.074245693000000551e-08
-5.276381909999999960e-03,6.060050519000000405e-07,8.003071045999999978e-08
-5.025125628000000171e-03,7.403673894999999586e-07,7.968206772000000480e-08
-4.773869346999999944e-03,5.287443644999999587e-07,7.942811909000000000e-08
-4.522613065000000154e-03,6.703633131000000506e-07,7.904833362999999584e-08
-4.271356783999999927e-03,6.379043565000000416e-07,7.877109571999999981e-08
-4.020100502999999700e-03,6.711917703000000434e-07,7.893473316999999823e-08
-3.768844220999999911e-03,6.308551695000000259e-07,7.880811196000000326e-08
-3.517587940000000118e-03,6.653335544000000504e-07,7.879347834000000081e-08
-3.266331657999999895e-03,6.976576766000000253e-07,7.902290552000000324e-08
-3.015075377000000102e-03,6.407574489000000173e-07,7.875128644000000616e-08
-2.763819094999999879e-03,7.723227322999999923e-07,7.881767046000000125e-08
-2.512562814000000085e-03,6.895481091999999900e-07,7.899844748000000273e-08
-2.261306532999999858e-03,5.811543626999999722e-07,7.900086977999999900e-08
-2.010050251000000069e-03,6.295485486999999882e-07,7.885537644000000058e-08
-1.758793970000000059e-03,5.731495867000000457e-07,7.868111995999999416e-08
-1.507537688000000053e-03,6.267448831999999809e-07,7.877955025999999595e-08
-1.256281407000000043e-03,6.871030072999999661e-07,7.880938351999999898e-08
-1.005025126000000033e-03,6.183612760999999779e-07,7.881848680000000108e-08
-7.537688441999999822e-04,7.315426160000000113e-07,7.868698943999999443e-08
-5.025125627999999520e-04,7.427301081999999924e-07,7.866664595000000105e-08
-2.512562813999999760e-04,6.334738116000000509e-07,7.895133641000000287e-08
0.000000000000000000e+00,6.834732309000000174e-07,7.905407844000000550e-08
2.512562813999999760e-04,6.683345992999999687e-07,7.894673287000000017e-08
5.025125627999999520e-04,6.411695222999999884e-07,7.877138627000000557e-08
7.537688441999999822e-04,7.099631454999999614e-07,7.872264376000000579e-08
1.005025126000000033e-03,6.192763942999999778e-07,7.892184892000000633e-08
1.256281407000000043e-03,6.875162956000000349e-07,7.909457346999999475e-08
1.507537688000000053e-03,6.635743382000000086e-07,7.900570525999999391e-08
1.758793970000000059e-03,6.995537590999999863e-07,7.887003661000000405e-08
2.010050251000000069e-03,6.163154717000000298e-07,7.903021851000000358e-08
2.261306532999999858e-03,5.774645942999999845e-07,7.902943862000000627e-08
2.512562814000000085e-03,5.966573645999999876e-07,7.880251871999999444e-08
2.763819094999999879e-03,6.796063714000000333e-07,7.883693631999999406e-08
3.015075377000000102e-03,6.985774743000000065e-07,7.879255678000000416e-08
3.266331657999999895e-03,7.081229302000000480e-07,7.876426270999999729e-08
3.517587940000000118e-03,7.003338293999999717e-07,7.872535533999999368e-08
3.768844220999999911e-03,5.876473477999999697e-07,7.877369265000000327e-08
4.020100502999999700e-03,6.619390660000000101e-07,7.897371625999999753e-08
4.271356783999999927e-03,6.272886682999999982e-07,7.906006185000000189e-08
4.522613065000000154e-03,6.475590690999999892e-07,7.906097840000000206e-08
4.773869346999999944e-03,6.388236734999999837e-07,7.918753175000000286e-08
5.025125628000000171e-03,6.988389750999999856e-07,7.968509749000000660e-08
5.276381909999999960e-03,6.911797690000000347e-07,8.012914981000000529e-08
5.527638191000000187e-03,6.574308143999999996e-07,8.072279763999999532e-08
5.778894472000000414e-03,7.308869782999999570e-07,8.169060691000000033e-08
6.030150754000000203e-03,7.947497335000000320e-07,8.263425543999999538e-08
6.281407035000000430e-03,6.480707458000000216e-07,8.314364456999999464e-08
6.532663317000000219e-03,8.912513589999999965e-07,8.404788130999999436e-08
6.783919597999999579e-03,8.343599355999999611e-07,8.534710669000000425e-08
7.035175878999999806e-03,6.671514693999999507e-07,8.617998193000000179e-08
7.286432160999999595e-03,7.623454109000000018e-07,8.694693833999999552e-08
7.537688441999999822e-03,9.131301813000000046e-07,8.785799401000000121e-08
7.788944723999999611e-03,8.375435609999999680e-07,8.850155053999999733e-08
8.040201005000000706e-03,7.427618779999999983e-07,8.925256275000000063e-08
8.291457286000000065e-03,8.284176151999999703e-07,9.035356989000000496e-08
8.542713567999999855e-03,9.253905776999999708e-07,9.120669350000000393e-08
8.793969848999999214e-03,8.020033809999999908e-07,9.190854339000000448e-08
9.045226131000000738e-03,8.759052234000000288e-07,9.278134654999999925e-08
9.296482412000000098e-03,8.667291705999999568e-07,9.369016712000000217e-08
9.547738692999999457e-03,9.491280083999999834e-07,9.465920519000000184e-08
9.798994974999999247e-03,8.648512595000000344e-07,9.535223342999999859e-08
1.005025126000000033e-02,7.802270453000000317e-07,9.579275037000000154e-08
1.030150753999999926e-02,8.267162150000000149e-07,9.661012434999999864e-08
1.055276381999999992e-02,8.068881411999999643e-07,9.751899157000000402e-08
1.080402010000000058e-02,8.096984019999999780e-07,9.821397819999999821e-08
1.105527637999999951e-02,1.069100700999999960e-06,9.898080716000000343e-08
1.130653266000000018e-02,9.582559588999999369e-07,9.991955338000000095e-08
1.155778894000000084e-02,7.548385582000000018e-07,1.003678221000000004e-07
1.180904523000000060e-02,8.767504160000000392e-07,1.004247731000000064e-07
1.206030150999999953e-02,8.043426234999999492e-07,1.004897081999999982e-07
1.231155779000000020e-02,8.987051368000000300e-07,1.008393069999999958e-07
1.256281407000000086e-02,8.781231953999999541e-07,1.012221275000000040e-07
1.281407034999999979e-02,7.617284308999999835e-07,1.012193486000000032e-07
1.306532663000000045e-02,9.059420918000000526e-07,1.010768615999999947e-07
1.331658290999999938e-02,6.830043670999999956e-07,1.009938789000000004e-07
1.356783919999999914e-02,6.201161702000000433e-07,1.009840090000000057e-07
1.381909547999999981e-02,8.205897917000000457e-07,1.011527773999999978e-07
1.407035176000000047e-02,1.014322005000000066e-06,1.010201868000000006e-07
1.432160803999999940e-02,8.291259336000000011e-07,1.010450574000000043e-07
1.457286432000000007e-02,7.855713064999999874e-07,1.013537157999999943e-07
1.482412060000000073e-02,8.687482339999999933e-07,1.011190627999999939e-07
1.507537687999999966e-02,8.614130976000000168e-07,1.007979205000000032e-07
1.532663316999999942e-02,8.554175575999999687e-07,1.008204851000000062e-07
1.557788945000000008e-02,8.627311215999999573e-07,1.009792008000000049e-07
1.582914573000000075e-02,7.396526403000000417e-07,1.009897220000000037e-07
1.608040201000000141e-02,8.992464397000000005e-07,1.011206140999999938e-07
1.633165828999999861e-02,8.783329281000000061e-07,1.012286285999999968e-07
1.658291456999999927e-02,8.507289757000000277e-07,1.011523427000000064e-07
1.683417084999999994e-02,8.490994168000000124e-07,1.010701103999999999e-07
