x_axis,Intensity,Error
-2.487437186000000106e-02,7.885760728000000430e-07,9.427698230999999527e-08
-2.462311558000000039e-02,8.230066707000000446e-07,9.413822799999999886e-08
-2.437185929999999973e-02,1.002388888000000060e-06,9.418721725999999375e-08
-2.412060301999999906e-02,8.827986402999999922e-07,9.429712665000000208e-08
-2.386934673000000104e-02,9.303060255999999742e-07,9.413425485999999858e-08
-2.361809045000000037e-02,7.759269149999999666e-07,9.407226726000000502e-08
-2.336683416999999971e-02,7.825052047000000484e-07,9.411536408000000160e-08
-2.311557788999999905e-02,8.349201364999999802e-07,9.423894358999999807e-08
-2.286432160999999838e-02,9.503329305000000031e-07,9.428806956999999817e-08
-2.261306533000000119e-02,8.591375298999999677e-07,9.420413330999999702e-08
-2.236180905000000052e-02,7.087270083000000315e-07,9.426783690000000340e-08
-2.211055275999999903e-02,7.679312352000000446e-07,9.455844574999999444e-08
-2.185929647999999836e-02,8.623211298000000409e-07,9.446961883000000362e-08
-2.160804020000000117e-02,8.599392135000000152e-07,9.440782548000000002e-08
-2.135678392000000050e-02,8.578577575999999669e-07,9.458976576999999562e-08
-2.110552763999999984e-02,7.704063854000000236e-07,9.446583246999999373e-08
-2.085427135999999917e-02,8.299151688000000178e-07,9.409605705999999501e-08
-2.060301507999999851e-02,7.716338321000000337e-07,9.403215647999999350e-08
-2.035175879000000049e-02,7.370353439000000172e-07,9.417072292000000563e-08
-2.010050250999999982e-02,8.391499664000000092e-07,9.425371351000000262e-08
-1.984924622999999916e-02,7.463610590000000507e-07,9.432755085999999415e-08
-1.959798994999999849e-02,7.487531160999999738e-07,9.421981253000000191e-08
-1.934673367000000130e-02,6.435453677999999516e-07,9.427543194000000514e-08
-1.909547739000000063e-02,8.279268329999999759e-07,9.428268125000000636e-08
-1.884422110999999997e-02,9.691150414000000821e-07,9.423817341999999526e-08
-1.859296481999999848e-02,7.087530086000000197e-07,9.423693362000000040e-08
-1.834170854000000128e-02,6.643548178999999756e-07,9.409636484000000081e-08
-1.809045226000000062e-02,8.643189859999999743e-07,9.410403255999999462e-08
-1.783919597999999995e-02,8.065829294000000307e-07,9.423581688000000407e-08
-1.758793969999999929e-02,7.729864288999999835e-07,9.423248004999999802e-08
-1.733668341999999862e-02,6.519470447000000270e-07,9.421162578000000362e-08
-1.708542714000000143e-02,7.783298668999999811e-07,9.398551295000000140e-08
-1.683417084999999994e-02,8.831725247000000287e-07,9.407901387000000647e-08
-1.658291456999999927e-02,8.699684148999999471e-07,9.428501272999999716e-08
-1.633165828999999861e-02,8.347351279999999778e-07,9.442840125000000324e-08
-1.608040201000000141e-02,1.000333025999999924e-06,9.447754170999999340e-08
-1.582914573000000075e-02,9.083316205000000366e-07,9.431911714000000100e-08
-1.557788945000000008e-02,8.411358399000000023e-07,9.419611228000000325e-08
-1.532663316999999942e-02,9.059374458000000340e-07,9.420548520000000461e-08
-1.507537687999999966e-02,8.827342479999999683e-07,9.431833226999999516e-08
-1.482412060000000073e-02,7.954446228999999477e-07,9.433124628999999870e-08
-1.457286432000000007e-02,7.766470469999999913e-07,9.435121444999999535e-08
-1.432160803999999940e-02,8.307407998999999551e-07,9.418431764000000614e-08
-1.407035176000000047e-02,9.494278606000000415e-07,9.416209092999999842e-08
-1.381909547999999981e-02,7.484474464000000414e-07,9.419652723000000235e-08
-1.356783919999999914e-02,8.419341315999999960e-07,9.410030807000000164e-08
-1.331658290999999938e-02,7.827049748000000448e-07,9.435505341000000546e-08
