x_axis,Intensity,Error
-2.487500000000000128e-02,4.437046863000000311e-06,1.883964708999999880e-08
-2.462500000000000105e-02,4.446326590999999682e-06,1.885933877999999946e-08
-2.437500000000000083e-02,4.430582638000000317e-06,1.882590348999999848e-08
-2.412500000000000061e-02,4.451450263999999648e-06,1.887021056000000117e-08
-2.387500000000000039e-02,4.433612012000000159e-06,1.883236379999999965e-08
-2.362500000000000017e-02,4.427617519000000309e-06,1.881963887000000030e-08
-2.337499999999999994e-02,4.430819201999999984e-06,1.882644619999999926e-08
-2.312499999999999972e-02,4.451618193000000110e-06,1.887058332999999973e-08
-2.287499999999999950e-02,4.428183957000000369e-06,1.882085644000000015e-08
-2.262499999999999928e-02,4.432343613999999924e-06,1.882969417000000114e-08
-2.237499999999999906e-02,4.458262208000000287e-06,1.888466925000000130e-08
-2.212499999999999883e-02,4.430585946000000035e-06,1.882596493000000086e-08
-2.187499999999999861e-02,4.446427043000000271e-06,1.885959520000000146e-08
-2.162499999999999839e-02,4.464506230999999615e-06,1.889789937999999957e-08
-2.137500000000000164e-02,4.454911959000000190e-06,1.887759300000000132e-08
-2.112500000000000142e-02,4.428914304999999759e-06,1.882243056999999851e-08
-2.087500000000000119e-02,4.473949366000000198e-06,1.891788314000000119e-08
-2.062500000000000097e-02,4.405241346999999935e-06,1.877207018999999866e-08
-2.037500000000000075e-02,4.449717110999999854e-06,1.886659326999999935e-08
-2.012500000000000053e-02,4.460758758000000242e-06,1.888999218999999841e-08
-1.987500000000000031e-02,4.450281054999999973e-06,1.886779724000000148e-08
-1.962500000000000008e-02,4.448041591000000224e-06,1.886305007999999965e-08
-1.937499999999999986e-02,4.466043747999999978e-06,1.890119052999999900e-08
-1.912499999999999964e-02,4.448365871000000019e-06,1.886374678999999989e-08
-1.887499999999999942e-02,4.460766101999999777e-06,1.889002329000000005e-08
-1.862499999999999920e-02,4.452848355000000134e-06,1.887325462999999927e-08
-1.837499999999999897e-02,4.461890613999999626e-06,1.889241387000000143e-08
-1.812499999999999875e-02,4.445569192999999789e-06,1.885782263000000006e-08
-1.787499999999999853e-02,4.421496959999999918e-06,1.880670936000000158e-08
-1.762499999999999831e-02,4.453142590999999788e-06,1.887405566999999918e-08
-1.737500000000000155e-02,4.412537325000000293e-06,1.878764422000000129e-08
-1.712500000000000133e-02,4.438457080999999577e-06,1.884274758000000131e-08
-1.687500000000000111e-02,4.440219178000000180e-06,1.884649229000000040e-08
-1.662500000000000089e-02,4.417421304999999935e-06,1.879804808999999959e-08
-1.637500000000000067e-02,4.473337289000000072e-06,1.891664794999999936e-08
-1.612500000000000044e-02,4.439424037000000064e-06,1.884481491999999957e-08
-1.587500000000000022e-02,4.463102283999999909e-06,1.889500379999999935e-08
-1.562500000000000000e-02,4.468862993999999911e-06,1.890719657999999864e-08
-1.537499999999999978e-02,4.397188534000000138e-06,1.875496117999999939e-08
-1.512499999999999956e-02,4.495664144000000378e-06,1.896381465000000157e-08
-1.487499999999999933e-02,4.418709362999999912e-06,1.880080586999999890e-08
-1.462500000000000085e-02,4.437190888999999933e-06,1.884008878000000080e-08
-1.437500000000000062e-02,4.457030435999999717e-06,1.888216281999999857e-08
-1.412500000000000040e-02,4.440792342000000286e-06,1.884773667999999854e-08
-1.387500000000000018e-02,4.419752699000000064e-06,1.880303260000000016e-08
-1.362499999999999996e-02,4.479751178999999905e-06,1.893023485999999920e-08
-1.337499999999999974e-02,4.443914969000000330e-06,1.885436814000000050e-08
-1.312499999999999951e-02,4.400160102999999615e-06,1.876132242999999976e-08
-1.287499999999999929e-02,4.440321126000000265e-06,1.884675562000000113e-08
-1.262500000000000080e-02,4.464000301000000089e-06,1.889694290000000040e-08
-1.237500000000000058e-02,4.455922301999999774e-06,1.887981934999999881e-08
-1.212500000000000036e-02,4.460078134000000383e-06,1.888863425999999948e-08
-1.187500000000000014e-02,4.449120723999999680e-06,1.886542123999999847e-08
-1.162499999999999992e-02,4.451443036999999584e-06,1.887034946000000078e-08
-1.137499999999999969e-02,4.422248132999999782e-06,1.880837324000000126e-08
-1.112499999999999947e-02,4.383854208999999880e-06,1.872655536999999892e-08
-1.087499999999999925e-02,4.350099787000000256e-06,1.865432840999999978e-08
-1.062500000000000076e-02,4.339383036000000203e-06,1.863134156000000023e-08
-1.037500000000000054e-02,4.325623346000000336e-06,1.860177781999999840e-08
-1.012500000000000032e-02,4.316905447000000082e-06,1.858302651000000005e-08
-9.875000000000000097e-03,4.317946033000000210e-06,1.858526749000000006e-08
-9.624999999999999875e-03,4.330662609000000096e-06,1.861260916999999930e-08
-9.374999999999999653e-03,4.316664859000000218e-06,1.858250736000000082e-08
-9.124999999999999431e-03,4.286028169999999614e-06,1.851644970000000124e-08
-8.874999999999999209e-03,4.303785183000000341e-06,1.855476305000000112e-08
-8.625000000000000722e-03,4.301787496999999902e-06,1.855046095999999938e-08
-8.375000000000000500e-03,4.288908360999999867e-06,1.852267098000000116e-08
-8.125000000000000278e-03,4.302269273000000113e-06,1.855150360999999839e-08
-7.875000000000000056e-03,4.255632967000000226e-06,1.845068228999999906e-08
-7.624999999999999833e-03,4.205237777999999597e-06,1.834111357000000056e-08
-7.374999999999999611e-03,4.229074819999999594e-06,1.839301969999999932e-08
-7.125000000000000257e-03,4.238115298000000356e-06,1.841267091000000164e-08
-6.875000000000000035e-03,4.223796270999999824e-06,1.838153980999999915e-08
-6.624999999999999813e-03,4.209302132000000196e-06,1.835023023999999882e-08
-6.374999999999999591e-03,4.205237616000000068e-06,1.834111286000000050e-08
-6.125000000000000236e-03,4.195317865999999679e-06,1.831946672000000133e-08
-5.875000000000000014e-03,4.201501247999999791e-06,1.833292466000000092e-08
-5.624999999999999792e-03,4.184517949000000122e-06,1.829587041000000040e-08
-5.374999999999999570e-03,4.192278880999999597e-06,1.831283219999999939e-08
-5.125000000000000215e-03,4.166520540000000228e-06,1.825648620999999914e-08
-4.874999999999999993e-03,4.177056616999999854e-06,1.827951691999999845e-08
-4.624999999999999771e-03,4.147080724999999925e-06,1.821384414000000112e-08
-4.375000000000000416e-03,4.159081498000000137e-06,1.824018206999999886e-08
-4.125000000000000194e-03,4.128283027000000299e-06,1.817252010000000088e-08
-3.874999999999999972e-03,4.091886853000000220e-06,1.809223862999999862e-08
-3.625000000000000184e-03,4.060528103000000323e-06,1.802277722000000011e-08
-3.374999999999999962e-03,4.037248751000000416e-06,1.797103788000000008e-08
-3.125000000000000173e-03,4.027168728999999706e-06,1.794858766000000069e-08
-2.874999999999999951e-03,4.029328397000000104e-06,1.795339927999999892e-08
-2.625000000000000163e-03,4.047038509999999685e-06,1.799276672000000079e-08
-2.374999999999999941e-03,4.079326786999999926e-06,1.806444817999999975e-08
-2.125000000000000153e-03,4.095963544999999623e-06,1.810124221000000037e-08
-1.874999999999999931e-03,4.022446739000000053e-06,1.793805665000000058e-08
-1.624999999999999925e-03,4.058364552999999607e-06,1.801795803999999881e-08
-1.374999999999999920e-03,4.029405092999999644e-06,1.795356279999999943e-08
-1.124999999999999915e-03,4.069722119999999957e-06,1.804315775000000132e-08
-8.750000000000000182e-04,4.054682604999999803e-06,1.800978675999999933e-08
-6.250000000000000130e-04,4.038442779999999916e-06,1.797368207000000107e-08
-3.750000000000000078e-04,4.055963206000000364e-06,1.801263210000000074e-08
-1.250000000000000026e-04,4.036122472000000404e-06,1.796851684999999931e-08
1.250000000000000026e-04,4.057483761000000395e-06,1.801600965999999943e-08
3.750000000000000078e-04,4.093558069999999805e-06,1.809591371999999901e-08
6.250000000000000130e-04,4.067882139999999637e-06,1.803907327000000095e-08
8.750000000000000182e-04,4.054682253999999694e-06,1.800978520000000148e-08
1.124999999999999915e-03,4.050442080999999871e-06,1.800036487000000005e-08
1.374999999999999920e-03,4.084600566999999867e-06,1.807610834999999983e-08
1.624999999999999925e-03,4.041806233000000053e-06,1.798117281000000100e-08
1.874999999999999931e-03,4.070362909000000051e-06,1.804458001000000041e-08
2.125000000000000153e-03,4.067563873000000373e-06,1.803837636999999883e-08
2.374999999999999941e-03,4.078444415999999962e-06,1.806248900000000024e-08
2.625000000000000163e-03,4.070445542999999744e-06,1.804476903000000077e-08
2.874999999999999951e-03,4.073405564999999580e-06,1.805132939000000158e-08
3.125000000000000173e-03,4.090925672000000035e-06,1.809011082999999863e-08
3.374999999999999962e-03,4.043489375999999912e-06,1.798492431000000076e-08
3.625000000000000184e-03,4.059329766000000018e-06,1.802012111000000062e-08
3.874999999999999972e-03,4.101806586000000229e-06,1.811415623000000061e-08
4.125000000000000194e-03,4.119964377999999683e-06,1.815420345000000113e-08
4.375000000000000416e-03,4.152120588000000167e-06,1.822490867999999876e-08
4.624999999999999771e-03,4.172761966000000406e-06,1.827015919000000043e-08
4.874999999999999993e-03,4.151079130000000263e-06,1.822261955000000077e-08
5.125000000000000215e-03,4.162439267999999881e-06,1.824753915999999837e-08
5.374999999999999570e-03,4.185340940999999729e-06,1.829763632999999885e-08
5.624999999999999792e-03,4.187797702999999772e-06,1.830303895000000019e-08
5.875000000000000014e-03,4.217958838000000078e-06,1.836883819000000044e-08
6.125000000000000236e-03,4.198598798000000003e-06,1.832663116999999965e-08
6.374999999999999591e-03,4.198677337999999880e-06,1.832679937999999851e-08
6.624999999999999813e-03,4.158360999999999843e-06,1.823860089000000073e-08
6.875000000000000035e-03,4.221795735000000270e-06,1.837718477000000121e-08
7.125000000000000257e-03,4.255314163000000390e-06,1.844999371999999910e-08
7.374999999999999611e-03,4.224594519999999779e-06,1.838327298999999941e-08
7.624999999999999833e-03,4.249554204999999728e-06,1.843750186999999993e-08
7.875000000000000056e-03,4.291150635000000279e-06,1.852751747999999926e-08
8.125000000000000278e-03,4.274510873000000274e-06,1.849155866999999986e-08
8.375000000000000500e-03,4.264510161000000328e-06,1.846991142999999869e-08
8.625000000000000722e-03,4.281212868999999759e-06,1.850597120000000115e-08
8.874999999999999209e-03,4.289709448999999638e-06,1.852440320999999864e-08
9.124999999999999431e-03,4.296749191999999595e-06,1.853959743999999931e-08
9.374999999999999653e-03,4.309626192999999827e-06,1.856735289000000025e-08
9.624999999999999875e-03,4.334267868000000067e-06,1.862036684000000111e-08
9.875000000000000097e-03,4.313306954999999776e-06,1.857528236999999876e-08
