x_axis,Intensity,Error
1.009999999999999964e+01,1.188092719999999991e+00,3.695684411999999863e-01
1.030000000000000071e+01,1.995456329999999889e+00,6.549501143000000525e-01
1.050000000000000000e+01,1.995630537999999898e+00,6.386475082000000469e-01
1.069999999999999929e+01,3.545184582000000084e+00,8.428318173000000080e-01
1.090000000000000036e+01,6.000442293999999954e+00,1.098739327999999960e+00
1.109999999999999964e+01,7.483455630999999997e+00,1.291849323000000105e+00
1.130000000000000071e+01,1.304986088000000066e+01,1.672007602000000093e+00
1.150000000000000000e+01,1.953216998999999987e+01,2.098041879000000165e+00
1.169999999999999929e+01,3.405463208999999836e+01,2.920148850999999990e+00
1.190000000000000036e+01,3.408353501999999935e+01,2.955097942000000089e+00
1.209999999999999964e+01,3.392686496999999690e+01,2.903844841000000176e+00
1.230000000000000071e+01,2.136821253000000098e+01,2.082724588000000043e+00
1.250000000000000000e+01,8.351777355999999486e+00,1.186046063999999900e+00
1.269999999999999929e+01,2.369404564999999963e+00,4.732464713999999795e-01
1.290000000000000036e+01,3.448810307000000019e+00,6.468122818000000551e-01
1.309999999999999964e+01,7.443002437999999721e+00,1.003054523000000087e+00
1.330000000000000071e+01,1.248352052000000079e+01,1.285639052000000060e+00
1.350000000000000000e+01,1.791158293999999884e+01,1.504204311999999932e+00
1.369999999999999929e+01,2.737268728999999823e+01,2.049440414999999849e+00
1.390000000000000036e+01,2.561377347999999898e+01,2.015540199999999782e+00
1.409999999999999964e+01,1.610823010000000011e+01,1.509244849000000110e+00
1.430000000000000071e+01,7.999362560999999872e+00,9.256449069000000085e-01
1.450000000000000000e+01,2.524453716000000014e+00,4.906797244000000169e-01
1.469999999999999929e+01,7.295739518999999618e-01,1.981026398000000077e-01
1.490000000000000036e+01,5.653177601000000108e-01,6.377081369999999805e-02
1.509999999999999964e+01,8.254411496000000348e-01,2.389290806999999905e-01
1.530000000000000071e+01,5.696027876999999462e-01,1.331275789999999959e-01
1.550000000000000000e+01,6.346064919999999665e-01,1.524735432000000057e-01
1.569999999999999929e+01,6.886541658000000510e-01,1.495600263999999902e-01
1.590000000000000036e+01,5.941882922000000233e-01,1.187504892999999978e-01
