x_axis,Intensity,Error
1.009999999999999964e+01,2.230118256000000088e+01,2.870868520999999784e+00
1.030000000000000071e+01,2.909344787999999937e+01,3.247822745000000122e+00
1.050000000000000000e+01,2.235686697999999950e+01,2.865123865000000158e+00
1.069999999999999929e+01,2.748299718000000169e+01,3.254120692999999953e+00
1.090000000000000036e+01,2.995992594999999881e+01,3.205911425000000037e+00
1.109999999999999964e+01,2.826698410999999922e+01,3.198423519999999964e+00
1.130000000000000071e+01,2.388376003000000125e+01,2.934420524000000086e+00
1.150000000000000000e+01,3.031355832999999933e+01,3.379137662999999847e+00
1.169999999999999929e+01,3.294113463000000053e+01,3.780269806000000177e+00
1.190000000000000036e+01,2.612204875000000115e+01,3.078253252000000106e+00
1.209999999999999964e+01,2.359040068999999917e+01,2.809714324000000207e+00
1.230000000000000071e+01,2.334416000999999952e+01,2.913718461000000204e+00
1.250000000000000000e+01,2.961527213000000103e+01,3.334158026999999969e+00
1.269999999999999929e+01,3.250229960000000062e+01,3.566444516999999870e+00
1.290000000000000036e+01,3.086745481000000169e+01,3.430890601000000206e+00
1.309999999999999964e+01,3.270858837000000108e+01,3.484039291000000205e+00
1.330000000000000071e+01,3.017205612000000059e+01,3.271643305000000002e+00
1.350000000000000000e+01,3.579552684000000085e+01,3.727950272999999815e+00
1.369999999999999929e+01,3.290621758999999713e+01,3.498166902999999994e+00
1.390000000000000036e+01,3.091733560999999852e+01,3.298521590000000003e+00
1.409999999999999964e+01,3.269119355000000127e+01,3.718271344000000145e+00
1.430000000000000071e+01,2.845708832000000044e+01,3.200000254999999960e+00
1.450000000000000000e+01,3.407691980999999970e+01,3.539969628000000146e+00
1.469999999999999929e+01,3.051977340999999910e+01,3.289655762000000205e+00
1.490000000000000036e+01,3.264189766999999875e+01,3.480915662000000133e+00
1.509999999999999964e+01,3.342815539000000058e+01,3.549149054999999997e+00
1.530000000000000071e+01,3.679745797999999724e+01,3.822002696999999838e+00
1.550000000000000000e+01,3.350613530999999767e+01,3.823431658000000066e+00
1.569999999999999929e+01,3.507366211000000078e+01,3.722449861999999943e+00
1.590000000000000036e+01,3.042331317000000013e+01,3.247994740999999852e+00
1.610000000000000142e+01,2.975963000000000136e+01,3.251482683999999956e+00
1.630000000000000071e+01,3.776308281000000022e+01,3.693317721000000109e+00
1.650000000000000000e+01,3.965681411999999995e+01,3.976040143000000082e+00
1.669999999999999929e+01,2.930329005000000109e+01,3.205082691999999955e+00
1.689999999999999858e+01,3.637854487999999975e+01,3.773061977999999872e+00
1.710000000000000142e+01,4.121064572000000226e+01,3.899523241999999890e+00
1.730000000000000071e+01,3.120446787999999927e+01,3.289652911000000124e+00
1.750000000000000000e+01,4.298724607999999847e+01,3.941382931000000145e+00
1.769999999999999929e+01,3.445127107999999794e+01,3.522787440000000103e+00
1.789999999999999858e+01,3.454264481999999958e+01,3.712127568000000100e+00
1.810000000000000142e+01,3.476805355999999847e+01,3.691915058000000194e+00
1.830000000000000071e+01,3.025116060999999945e+01,3.269211004999999837e+00
1.850000000000000000e+01,3.784726962999999955e+01,3.812671471999999895e+00
1.869999999999999929e+01,3.463867745999999670e+01,3.626599510000000137e+00
1.889999999999999858e+01,4.157687929000000082e+01,3.997153704000000030e+00
1.910000000000000142e+01,3.741912399000000278e+01,3.819474581999999785e+00
1.930000000000000071e+01,3.995426464999999894e+01,3.900406902999999925e+00
1.950000000000000000e+01,3.571060448000000065e+01,3.771557425000000130e+00
1.969999999999999929e+01,3.231715789999999799e+01,3.388205152999999914e+00
1.989999999999999858e+01,3.057437029000000095e+01,3.275488757000000195e+00
2.010000000000000142e+01,3.694855651000000307e+01,3.644470016000000090e+00
2.030000000000000071e+01,3.672139889999999696e+01,3.678102038000000018e+00
2.050000000000000000e+01,3.828653850999999975e+01,3.847901853000000205e+00
2.069999999999999929e+01,4.093780318000000307e+01,3.825320419000000083e+00
2.089999999999999858e+01,4.041963726000000179e+01,3.798978475999999826e+00
2.110000000000000142e+01,3.529590600000000222e+01,3.532127953999999903e+00
2.130000000000000071e+01,4.364866912000000099e+01,4.017452381000000017e+00
2.150000000000000000e+01,3.364762970999999681e+01,3.505668464999999845e+00
2.169999999999999929e+01,3.941255876000000313e+01,3.875993267000000131e+00
2.189999999999999858e+01,4.054104114999999808e+01,3.934974910000000214e+00
2.210000000000000142e+01,3.730896451000000269e+01,3.680335831999999918e+00
2.230000000000000071e+01,4.001183662999999768e+01,3.793231320999999934e+00
2.250000000000000000e+01,3.972535269000000113e+01,3.740707661000000073e+00
2.269999999999999929e+01,4.388695580000000263e+01,3.936721835000000169e+00
2.289999999999999858e+01,4.356399844999999971e+01,4.045820873000000262e+00
2.310000000000000142e+01,4.681488141999999897e+01,4.122857740999999798e+00
2.330000000000000071e+01,5.520247817999999995e+01,4.530189413000000442e+00
2.350000000000000000e+01,5.728399587999999909e+01,4.689525757000000183e+00
2.369999999999999929e+01,8.685027771000000030e+01,5.956316802999999993e+00
2.389999999999999858e+01,1.137730423000000002e+02,7.045807869999999973e+00
2.410000000000000142e+01,1.324989769000000024e+02,7.854623594999999625e+00
2.430000000000000071e+01,1.355373562000000049e+02,7.840371240999999713e+00
2.450000000000000000e+01,1.077114571999999981e+02,6.827220324999999868e+00
2.469999999999999929e+01,8.667179065999999921e+01,5.868957009999999919e+00
2.489999999999999858e+01,5.870437722999999863e+01,4.574085654000000112e+00
2.510000000000000142e+01,5.038056592000000222e+01,4.423239818999999962e+00
2.530000000000000071e+01,4.616092023000000211e+01,4.150901417000000038e+00
2.550000000000000000e+01,4.711237574999999822e+01,4.223268692000000435e+00
2.569999999999999929e+01,4.518455754000000013e+01,4.120015619000000129e+00
2.589999999999999858e+01,3.932957051999999720e+01,3.749479152000000148e+00
2.610000000000000142e+01,4.397440175999999923e+01,4.009312968999999782e+00
2.630000000000000071e+01,5.087574799000000070e+01,4.411105900999999996e+00
2.650000000000000000e+01,4.489414809000000162e+01,4.113839218999999936e+00
2.669999999999999929e+01,5.266148685000000285e+01,4.366013349000000154e+00
2.689999999999999858e+01,4.332509981999999837e+01,3.916143831999999936e+00
2.710000000000000142e+01,5.309684455000000014e+01,4.241794899000000285e+00
2.730000000000000071e+01,5.656841632999999803e+01,4.375377590000000261e+00
2.750000000000000000e+01,7.193920138000000009e+01,4.850873241999999586e+00
2.769999999999999929e+01,7.492986813999999640e+01,4.990812768999999705e+00
2.789999999999999858e+01,9.454403670000000659e+01,5.828396739999999632e+00
2.810000000000000142e+01,1.057004500999999976e+02,6.088744682999999824e+00
2.830000000000000071e+01,8.171700400999999658e+01,5.268996575000000071e+00
2.850000000000000000e+01,8.332570377999999778e+01,5.337471923999999923e+00
2.869999999999999929e+01,6.242603651000000298e+01,4.632941484999999915e+00
2.889999999999999858e+01,5.338979176000000137e+01,4.409596022999999754e+00
2.910000000000000142e+01,5.159969002999999788e+01,4.437880522000000383e+00
2.930000000000000071e+01,5.462901744999999920e+01,4.728388741999999922e+00
2.950000000000000000e+01,4.910747379000000024e+01,4.244089527999999945e+00
2.969999999999999929e+01,4.823252588999999801e+01,4.074892594999999673e+00
2.989999999999999858e+01,5.992431115000000119e+01,4.756229641000000008e+00
3.010000000000000142e+01,5.245481971000000243e+01,4.349586932000000239e+00
3.030000000000000071e+01,4.696319915000000123e+01,4.140333251000000381e+00
3.050000000000000000e+01,5.215449642000000097e+01,4.285304308999999812e+00
3.069999999999999929e+01,4.396035735000000244e+01,4.183592757999999634e+00
3.089999999999999858e+01,4.783620084999999733e+01,4.196368858999999674e+00
3.110000000000000142e+01,5.279128221999999937e+01,4.438732063999999866e+00
3.130000000000000071e+01,5.188947257000000235e+01,4.472565398000000414e+00
3.150000000000000000e+01,4.939584673000000237e+01,4.333319952000000086e+00
3.169999999999999929e+01,4.803273080999999678e+01,4.249249062999999715e+00
3.189999999999999858e+01,5.019837468000000058e+01,4.244162597999999953e+00
3.210000000000000142e+01,5.265582186000000320e+01,4.534918926999999655e+00
3.229999999999999716e+01,6.092847181999999862e+01,4.849242048999999888e+00
3.250000000000000000e+01,5.439584639000000266e+01,4.642088519999999718e+00
3.270000000000000284e+01,5.491777052999999853e+01,4.594124150999999934e+00
3.289999999999999858e+01,4.918532797999999673e+01,4.289155732000000221e+00
3.310000000000000142e+01,5.681226348999999942e+01,4.584093023000000322e+00
3.329999999999999716e+01,4.390584873000000243e+01,4.006079193999999788e+00
3.350000000000000000e+01,6.123053335000000175e+01,4.854624717000000089e+00
3.370000000000000284e+01,5.254435907999999955e+01,4.375194082000000151e+00
3.389999999999999858e+01,4.413479792999999773e+01,3.950473897000000179e+00
3.410000000000000142e+01,6.227750213000000201e+01,4.787277909000000164e+00
3.429999999999999716e+01,6.639410386000000130e+01,4.894722653999999729e+00
3.450000000000000000e+01,4.839816923000000060e+01,4.273166832000000248e+00
3.470000000000000284e+01,5.366888816000000162e+01,4.583108228999999589e+00
3.489999999999999858e+01,4.750727797999999780e+01,4.197481170999999733e+00
3.510000000000000142e+01,5.987239988000000324e+01,4.714192452999999894e+00
3.529999999999999716e+01,5.915024068000000312e+01,4.705709629000000227e+00
3.550000000000000000e+01,5.774461815000000087e+01,4.606520238999999961e+00
3.570000000000000284e+01,5.017844205000000102e+01,4.288293480000000102e+00
3.589999999999999858e+01,5.486555702999999795e+01,4.433266711999999998e+00
3.610000000000000142e+01,5.789937652999999784e+01,4.551489798999999614e+00
3.629999999999999716e+01,5.397505283000000276e+01,4.564359875000000066e+00
3.650000000000000000e+01,6.125453003999999879e+01,4.824852685999999835e+00
3.670000000000000284e+01,6.201444467000000316e+01,4.898031974000000233e+00
3.689999999999999858e+01,5.461752601999999968e+01,4.499053124999999653e+00
3.710000000000000142e+01,5.476606328999999818e+01,4.483999819000000109e+00
3.729999999999999716e+01,6.087228712000000286e+01,4.693098770999999836e+00
3.750000000000000000e+01,5.486349301999999994e+01,4.560999319999999635e+00
