x_axis,Intensity,Error
1.009999999999999964e+01,9.382665970000000355e-01,9.924723546000000507e-01
1.030000000000000071e+01,1.015875319999999915e+00,9.441705895999999987e-01
1.050000000000000000e+01,7.139323087000000179e-01,5.121497130000000064e-01
1.069999999999999929e+01,1.884701776999999911e-01,1.480043178999999876e-01
1.090000000000000036e+01,1.736407362000000010e+00,1.046099450000000042e+00
1.109999999999999964e+01,1.565961667000000057e+00,1.265754068999999982e+00
1.130000000000000071e+01,5.630602811999999707e-02,5.751339130000000105e-02
1.150000000000000000e+01,2.121488306999999907e+00,1.058357451000000005e+00
1.169999999999999929e+01,1.976105977000000014e+00,1.198443994000000012e+00
1.190000000000000036e+01,1.045814236000000008e+00,6.355029009999999534e-01
1.209999999999999964e+01,1.213175791000000059e+00,9.347393856000000278e-01
1.230000000000000071e+01,3.332460640000000085e-01,3.332460640000000085e-01
1.250000000000000000e+01,1.724221970000000104e+00,1.371493811999999979e+00
1.269999999999999929e+01,2.908502502000000156e+00,1.902452132000000073e+00
1.290000000000000036e+01,1.515106819999999965e+00,1.049213095999999901e+00
1.309999999999999964e+01,7.291356348999999959e-01,5.682511228000000081e-01
1.330000000000000071e+01,2.391194680000000017e-03,1.806261117999999940e-03
1.350000000000000000e+01,9.297314742999999992e-02,1.026963354000000050e-01
1.369999999999999929e+01,7.222362710999999935e-01,5.501475239999999989e-01
1.390000000000000036e+01,9.610484438999999934e-01,5.813153462000000271e-01
1.409999999999999964e+01,2.032555546999999851e+00,1.133883618999999898e+00
1.430000000000000071e+01,7.894552972999999696e-01,6.233883837000000483e-01
1.450000000000000000e+01,3.881150290000000280e-02,1.883440868000000115e-02
1.469999999999999929e+01,1.872424903000000085e-01,1.813879615000000001e-01
1.490000000000000036e+01,1.200421398999999889e+00,9.861177774999999590e-01
1.509999999999999964e+01,1.117388368999999937e+00,6.057053210999999715e-01
1.530000000000000071e+01,2.400964291000000195e+00,1.205857791999999984e+00
1.550000000000000000e+01,4.492597601000000163e-01,3.193114995999999928e-01
1.569999999999999929e+01,2.265051185999999994e+00,1.035757939000000016e+00
1.590000000000000036e+01,6.499400213999999565e-01,4.748198161000000139e-01
1.610000000000000142e+01,5.352803497000000466e-01,2.568047148000000002e-01
1.630000000000000071e+01,4.314297469000000440e+00,1.913403586999999906e+00
1.650000000000000000e+01,4.812161732999999941e-01,3.165156358999999808e-01
1.669999999999999929e+01,7.191952026000000275e-01,4.699336270000000204e-01
1.689999999999999858e+01,4.433855062000000014e-01,3.104288550000000035e-01
1.710000000000000142e+01,1.069260968000000034e+00,1.066949820999999909e+00
1.730000000000000071e+01,1.347886235999999904e+00,1.124842896999999953e+00
1.750000000000000000e+01,3.288677838999999881e-01,2.781365692000000167e-01
1.769999999999999929e+01,4.538872321000000376e+00,2.868067557999999906e+00
1.789999999999999858e+01,1.650636857999999929e+00,1.788693899999999948e+00
1.810000000000000142e+01,1.004982733999999933e+00,9.356320421999999581e-01
1.830000000000000071e+01,2.758770499999999792e+00,1.815512814999999947e+00
1.850000000000000000e+01,5.153040510000000268e-02,5.447688603999999851e-02
1.869999999999999929e+01,1.984939454000000048e+00,1.463951500000000072e+00
1.889999999999999858e+01,6.319892516999999765e-01,3.692372890999999768e-01
1.910000000000000142e+01,1.997066651999999998e+00,1.348654548000000064e+00
1.930000000000000071e+01,1.450237229000000072e+00,1.131975925000000105e+00
1.950000000000000000e+01,1.292941340999999911e+00,6.348919725999999653e-01
1.969999999999999929e+01,1.048965353999999905e+00,7.060226460999999842e-01
1.989999999999999858e+01,9.380580385999999493e-02,9.092002729999999755e-02
2.010000000000000142e+01,5.671730583000000436e+00,2.947746373999999836e+00
2.030000000000000071e+01,1.283981494000000056e+00,1.065300412000000030e+00
2.050000000000000000e+01,2.827387531000000176e-01,1.708988167999999919e-01
2.069999999999999929e+01,1.528257325000000000e+00,1.073444247000000074e+00
2.089999999999999858e+01,6.891291896000000250e-01,4.396592252000000034e-01
2.110000000000000142e+01,7.724961548000000011e-01,5.134601844999999720e-01
2.130000000000000071e+01,1.041762905999999989e+00,5.858403331000000547e-01
2.150000000000000000e+01,2.890369897999999882e+00,2.371024493999999816e+00
2.169999999999999929e+01,2.888427500000000148e+00,1.516033503999999921e+00
2.189999999999999858e+01,2.449141834999999823e+00,1.859787365999999942e+00
2.210000000000000142e+01,2.077773173000000195e+00,1.192803228000000049e+00
2.230000000000000071e+01,1.574950983999999998e+00,1.093194573999999974e+00
2.250000000000000000e+01,7.285672507999999548e-01,6.950959502000000345e-01
2.269999999999999929e+01,7.825794729000000449e-02,6.826264300999999868e-02
2.289999999999999858e+01,1.468034880999999903e+00,1.040559667999999993e+00
2.310000000000000142e+01,8.450324178000000463e-01,8.355460799999999688e-01
2.330000000000000071e+01,9.064380160999999658e-01,9.737594575000000363e-01
2.350000000000000000e+01,2.582484161000000000e+00,2.470476963999999942e+00
2.369999999999999929e+01,2.790615683000000069e-01,2.777952745999999751e-01
2.389999999999999858e+01,1.066293098999999911e+00,1.094978355000000070e+00
2.410000000000000142e+01,8.348035362000000292e-01,5.963653642999999782e-01
2.430000000000000071e+01,2.181433928000000133e+00,1.367444571000000053e+00
2.450000000000000000e+01,1.693337125999999984e-02,1.332750815999999942e-02
2.469999999999999929e+01,3.718414082000000009e-01,3.783899981000000134e-01
2.489999999999999858e+01,2.381766307999999999e+00,2.238256030000000063e+00
2.510000000000000142e+01,2.308410519999999799e+00,1.221182055999999960e+00
2.530000000000000071e+01,1.184972624000000030e+00,9.835478021000000348e-01
2.550000000000000000e+01,8.812773866999999706e-02,8.426219839000000100e-02
2.569999999999999929e+01,1.925505962000000071e-02,1.916202743999999986e-02
2.589999999999999858e+01,2.039350059000000215e+00,1.318299144999999895e+00
2.610000000000000142e+01,8.892869541000000266e-01,6.463713920000000446e-01
2.630000000000000071e+01,1.091244797999999933e-01,7.785689547999999349e-02
2.650000000000000000e+01,7.947216223999999940e-01,5.290857423000000503e-01
2.669999999999999929e+01,5.686205919000000275e-01,4.376988169000000095e-01
2.689999999999999858e+01,2.783403870000000085e-02,3.213365316999999832e-02
2.710000000000000142e+01,1.323396892999999963e+00,8.935079218000000489e-01
2.730000000000000071e+01,1.069143044999999903e+00,8.733917881999999633e-01
2.750000000000000000e+01,1.150890323000000048e+00,1.002009098000000042e+00
2.769999999999999929e+01,1.908390655999999963e-01,2.024025811999999869e-01
2.789999999999999858e+01,2.420787423999999799e+00,1.925425058999999939e+00
2.810000000000000142e+01,1.947685780999999894e+00,1.023156530999999925e+00
2.830000000000000071e+01,1.576249869000000137e-02,1.663818471000000007e-02
2.850000000000000000e+01,8.018827213000000176e-02,7.814713229000000427e-02
2.869999999999999929e+01,1.577277027000000054e+00,1.077595136000000009e+00
2.889999999999999858e+01,1.438287349000000104e+00,1.372375061999999923e+00
2.910000000000000142e+01,8.036173539999999504e-02,9.561777841000000666e-02
2.930000000000000071e+01,1.989420089000000003e+00,1.985702040999999918e+00
2.950000000000000000e+01,2.687420675999999897e+00,1.399322026999999968e+00
2.969999999999999929e+01,2.162451473999999971e-02,1.489364355000000022e-02
2.989999999999999858e+01,3.559108025000000119e-01,3.441601879999999780e-01
3.010000000000000142e+01,1.080791640999999997e-02,6.522275242999999584e-03
3.030000000000000071e+01,1.043824757999999964e+00,1.161966304999999977e+00
3.050000000000000000e+01,6.764788846999999494e-01,7.047178291000000261e-01
3.069999999999999929e+01,4.533793507999999584e+00,2.526183586999999786e+00
3.089999999999999858e+01,4.227518131000000068e+00,2.440445079999999933e+00
3.110000000000000142e+01,9.912779203999999567e-02,8.150716076000000254e-02
3.130000000000000071e+01,5.329097234999999877e+00,2.269315220999999827e+00
3.150000000000000000e+01,9.613949489999999987e-01,7.436274693000000102e-01
3.169999999999999929e+01,2.489443265999999877e+00,1.265493712000000048e+00
3.189999999999999858e+01,3.664825747000000078e+00,2.264995927999999825e+00
3.210000000000000142e+01,1.428178254000000091e+00,9.144341454000000091e-01
3.229999999999999716e+01,1.296867218000000044e+00,9.636731989000000276e-01
3.250000000000000000e+01,2.875889282000000158e+00,1.607292825999999897e+00
3.270000000000000284e+01,4.406568485000000202e+00,2.941692081999999875e+00
3.289999999999999858e+01,3.002739029000000004e-01,2.377531838999999980e-01
3.310000000000000142e+01,8.238095713999999958e-01,5.387913466000000540e-01
3.329999999999999716e+01,2.436814893000000204e+00,1.334921354000000004e+00
3.350000000000000000e+01,3.679563034000000316e-02,3.896693950999999961e-02
3.370000000000000284e+01,1.713158642000000009e+00,1.350350576000000080e+00
3.389999999999999858e+01,2.787577279999999824e-01,2.932530570999999919e-01
3.410000000000000142e+01,3.322078335000000049e+00,1.946617935999999993e+00
3.429999999999999716e+01,2.076607964999999945e-01,2.202680656000000070e-01
3.450000000000000000e+01,6.590182337000000112e-01,6.654391064000000355e-01
3.470000000000000284e+01,2.637459453000000065e-01,1.432009733000000062e-01
3.489999999999999858e+01,2.148754053999999858e+00,1.454860417999999989e+00
3.510000000000000142e+01,1.237303373999999900e+00,5.781734133999999470e-01
3.529999999999999716e+01,3.362067963999999964e+00,1.226056905000000086e+00
3.550000000000000000e+01,8.126555296999999456e+00,2.060275132000000120e+00
3.570000000000000284e+01,2.711675225999999839e+01,4.091538232000000441e+00
3.589999999999999858e+01,5.816815688999999878e+01,5.940232230000000335e+00
3.610000000000000142e+01,9.788554705999999328e+01,7.639089524000000075e+00
3.629999999999999716e+01,1.726026505000000100e+02,1.047819793000000033e+01
3.650000000000000000e+01,2.075229062999999883e+02,1.141683225999999962e+01
3.670000000000000284e+01,2.355128163999999913e+02,1.207432505999999961e+01
3.689999999999999858e+01,2.035082605999999998e+02,1.142162888999999915e+01
3.710000000000000142e+01,1.496209294999999884e+02,9.556093478999999391e+00
3.729999999999999716e+01,8.256911162999999476e+01,7.232057913000000227e+00
3.750000000000000000e+01,3.830044894000000255e+01,4.863652475000000308e+00
3.770000000000000284e+01,1.269520160999999980e+01,2.765994216999999811e+00
3.789999999999999858e+01,3.799893380999999959e+00,1.329877374999999917e+00
3.810000000000000142e+01,2.717797119000000095e+00,1.310248929999999978e+00
3.829999999999999716e+01,1.364263411999999953e-01,1.193787037000000051e-01
3.850000000000000000e+01,3.418159297999999735e-01,3.942749796999999723e-01
3.870000000000000284e+01,1.735481040000000030e+00,1.295207224999999962e+00
3.889999999999999858e+01,1.839948905999999954e-02,1.796591051999999952e-02
3.910000000000000142e+01,5.942508135999999830e-01,4.533847227999999729e-01
3.929999999999999716e+01,1.733518536999999915e+00,1.308499797000000076e+00
3.950000000000000000e+01,3.922522938999999931e-01,3.507663402999999791e-01
3.970000000000000284e+01,1.221190543999999933e+00,1.194164620000000010e+00
3.989999999999999858e+01,1.419339396000000031e-01,1.472636633999999944e-01
4.010000000000000142e+01,3.074948654999999989e-02,3.765503419999999962e-02
4.029999999999999716e+01,1.536918513000000042e+00,1.358772711000000077e+00
4.050000000000000000e+01,2.299003449000000199e+00,1.535738186999999977e+00
4.070000000000000284e+01,6.765615136999999502e-01,5.135295187999999733e-01
4.089999999999999858e+01,9.451430214999999579e-01,4.621138490000000210e-01
4.110000000000000142e+01,3.837588481000000051e+00,2.317868448000000026e+00
4.129999999999999716e+01,3.999570542999999923e+00,1.201015975000000013e+00
4.150000000000000000e+01,1.317480562999999982e+01,2.334615590999999934e+00
4.170000000000000284e+01,2.229775141000000005e+01,2.877824888000000136e+00
4.189999999999999858e+01,5.022971207999999876e+01,4.520479885000000309e+00
4.210000000000000142e+01,7.445565417999999624e+01,5.486916566999999745e+00
