x_axis,Intensity,Error
2.879113688999999834e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.637341066000000372e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.439556843999999919e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.015379582000000058e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.591202319999999851e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.167025057000000254e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.742847794999999700e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.318670532999999839e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.894493269999999896e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.470316008000000035e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.046138746000000175e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.621961483999999620e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.197784221000000371e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.773606958999999816e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.349429697000000650e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.925252434000000012e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.501075171999999458e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.007689791000000029e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.065272064999999990e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.122854338999999951e-01,4.554210522999999739e+03,1.570006491999999980e+02
1.180436611999999968e-01,3.680454589999999735e+05,1.301399685000000090e+03
1.238018886000000068e-01,7.651410219999999972e+05,1.744721825000000081e+03
1.295601160000000029e-01,9.661862201000000350e+05,1.827456820000000107e+03
1.353183434000000129e-01,1.037604163999999990e+06,1.781115072000000055e+03
1.410765706999999869e-01,9.796350405000000028e+05,1.608802341000000069e+03
1.468347980999999969e-01,7.512216056000000099e+05,1.226535562000000027e+03
1.525930255000000069e-01,5.692673405999999959e+05,9.318611266000000342e+02
1.583512528999999891e-01,4.260371637999999803e+05,7.003905747000000019e+02
1.641094801999999908e-01,3.184026153000000049e+05,5.234598138999999719e+02
1.698677076000000008e-01,2.376458152999999875e+05,3.914126942999999983e+02
1.756259350000000108e-01,1.780100107000000135e+05,2.897320879000000104e+02
1.813841623999999930e-01,1.335834809999999998e+05,2.117552607000000080e+02
1.871423898000000030e-01,1.020951790000000037e+05,1.534384442999999862e+02
1.929006171000000047e-01,7.970762072000000626e+04,1.099308280999999994e+02
1.986588444999999870e-01,6.490367861000000266e+04,7.874040422999999578e+01
2.044170718999999969e-01,5.545984410000000207e+04,5.700470579000000271e+01
2.101752993000000069e-01,4.976626726000000053e+04,4.270018779000000109e+01
2.159335266000000086e-01,4.676417173000000184e+04,3.438880843999999826e+01
2.216917539999999909e-01,4.542905432000000292e+04,3.025391473999999903e+01
2.274499814000000009e-01,4.508004712000000291e+04,2.830170418000000154e+01
2.332082088000000109e-01,4.515795251000000280e+04,2.747668897999999871e+01
2.389664361000000126e-01,4.534551578000000154e+04,2.701696606999999872e+01
2.447246634999999948e-01,4.535544193999999698e+04,2.659187323000000092e+01
2.504828908999999770e-01,4.498055709999999817e+04,2.608590265000000130e+01
2.562411183000000148e-01,4.421553405999999814e+04,2.549166200999999887e+01
2.619993456999999970e-01,4.289902696000000287e+04,2.473671331999999978e+01
2.677575730000000265e-01,4.117407602999999654e+04,2.387496975999999904e+01
2.735158004000000087e-01,3.902670564000000013e+04,2.289103774999999885e+01
2.792740277999999909e-01,3.648368905999999697e+04,2.177583995999999900e+01
2.850322551999999732e-01,3.366657117000000289e+04,2.053714353000000159e+01
2.907904825000000026e-01,3.076360816999999952e+04,1.922591704999999962e+01
2.965487098999999849e-01,2.775058442999999897e+04,1.783921331999999893e+01
3.023069373000000226e-01,2.468116898999999830e+04,1.636682516000000120e+01
3.080651647000000048e-01,2.175147984999999971e+04,1.488114266000000008e+01
3.138233919999999788e-01,1.893478379000000132e+04,1.338355246000000065e+01
3.195816194000000166e-01,1.630055971999999929e+04,1.189186583000000041e+01
3.253398467999999988e-01,1.391573535000000084e+04,1.045804979000000046e+01
3.310980741999999810e-01,1.178500559000000067e+04,9.076027707999999805e+00
3.368563016000000188e-01,9.943681638000000021e+03,7.793595135000000340e+00
3.426145288999999927e-01,8.393893652000000657e+03,6.615289210000000253e+00
3.483727562999999749e-01,7.113553286999999727e+03,5.548279779999999661e+00
3.541309837000000127e-01,6.117769894000000022e+03,4.626979460000000266e+00
3.598892110999999949e-01,5.378137464000000364e+03,3.863370866999999986e+00
3.656474384000000244e-01,4.859677921000000424e+03,3.249494428999999851e+00
3.714056658000000066e-01,4.534486514999999599e+03,2.800871227000000019e+00
3.771638931999999889e-01,4.372526976000000104e+03,2.504769195999999809e+00
3.829221206000000266e-01,4.335945161999999982e+03,2.336959998000000205e+00
3.886803479000000006e-01,4.401136779999999817e+03,2.270128526000000146e+00
3.944385752999999828e-01,4.527568706000000020e+03,2.259062700999999951e+00
4.001968027000000205e-01,4.698827462000000196e+03,2.279585178000000045e+00
4.059550301000000028e-01,4.869720290999999634e+03,2.304824146000000074e+00
4.117132574999999850e-01,5.032671992999999929e+03,2.326631332999999913e+00
4.174714848000000145e-01,5.168578320999999960e+03,2.340591737000000006e+00
4.232297121999999967e-01,5.257527954000000136e+03,2.340101500999999917e+00
4.289879395999999789e-01,5.294394760999999562e+03,2.328672287999999924e+00
4.347461670000000167e-01,5.269647186000000147e+03,2.303565014000000133e+00
4.405043942999999906e-01,5.177216231999999764e+03,2.264430620999999810e+00
4.462626216999999729e-01,5.014328081999999995e+03,2.211162061000000012e+00
4.520208491000000106e-01,4.800175742000000355e+03,2.148164736000000019e+00
4.577790764999999928e-01,4.522084485000000313e+03,2.069047611999999869e+00
4.635373038000000223e-01,4.195099857999999585e+03,1.976821976999999952e+00
4.692955312000000045e-01,3.829945929999999862e+03,1.871202652000000022e+00
4.750537585999999868e-01,3.442294468999999935e+03,1.755073102999999968e+00
4.808119860000000245e-01,3.039453699000000142e+03,1.628205391999999918e+00
4.865702134000000068e-01,2.632537757999999940e+03,1.492150593000000081e+00
4.923284406999999807e-01,2.236767534999999953e+03,1.348977013000000058e+00
4.980866681000000185e-01,1.863915813000000071e+03,1.204461143999999928e+00
5.038448955000000007e-01,1.523735756000000038e+03,1.058833775999999949e+00
5.096031228999999829e-01,1.224591717000000017e+03,9.180901579000000368e-01
5.153613501999999569e-01,9.712410591000000295e+02,7.874568868000000332e-01
5.211195776000000501e-01,7.558144643000000542e+02,6.649724383999999766e-01
5.268778050000000324e-01,5.754199251999999660e+02,5.523246720000000165e-01
5.326360324000000146e-01,4.290046361999999931e+02,4.517145690000000102e-01
5.383942597999999968e-01,3.113741736000000060e+02,3.617822223000000115e-01
5.441524870999999708e-01,2.197389836000000116e+02,2.840264833999999738e-01
5.499107144999999530e-01,1.501868996000000038e+02,2.182515885000000100e-01
5.556689419000000463e-01,9.899567854999999383e+01,1.631435360000000057e-01
5.614271693000000285e-01,6.199917195999999819e+01,1.177445683999999992e-01
5.671853966000000025e-01,3.700724212000000080e+01,8.250768359000000551e-02
5.729436239999999847e-01,2.074073910999999981e+01,5.548485083000000151e-02
